bbmpLmsId,name,zone,lat,lon,latRaw,lonRaw,coordNote,url,source
16,Kelagina Byrasandra Lake,East,12.958444,77.662056,12.958444,77.662056,,https://lms.bbmpgov.in/viewlakenew/16,bbmp-lms
21,Sankey Lake,West,13.0093,77.5741,13.0093,77.5741,,https://lms.bbmpgov.in/viewlakenew/21,bbmp-lms
22,Nayandahalli Lake,West,12.9397,77.5214,12.9397,77.5214,,https://lms.bbmpgov.in/viewlakenew/22,bbmp-lms
24,Kempambudhi Lake,South,12.952306,77.559889,12.952306,77.559889,,https://lms.bbmpgov.in/viewlakenew/24,bbmp-lms
25,Kacharakanahalli Lake,East,,,13.010618,77.373320,"longitude 77.37332 looks like packed DMS (77 deg 37' 33""), which would move it about 27 km east; not corrected",https://lms.bbmpgov.in/viewlakenew/25,bbmp-lms
31,Doddabidarakallu Lake,Dasarahalli,12.9951,77.5644,12.9951,77.5644,,https://lms.bbmpgov.in/viewlakenew/31,bbmp-lms
32,Byrasandra Lake (Chikkapete Lake),South,12.930083,77.595639,12.930083,77.595639,,https://lms.bbmpgov.in/viewlakenew/32,bbmp-lms
34,Lakshmipura Lake,Dasarahalli,13.0863,77.5304,13.0863,77.5304,,https://lms.bbmpgov.in/viewlakenew/34,bbmp-lms
36,Abbigere Lake,Dasarahalli,13.0799,77.5269,13.0799,77.5269,,https://lms.bbmpgov.in/viewlakenew/36,bbmp-lms
37,Mallasandra Gudde Lake,Dasarahalli,13.057,77.5187,13.0570,77.5187,,https://lms.bbmpgov.in/viewlakenew/37,bbmp-lms
38,Mesthripalya Lake,South,12.932,77.626083,12.932,77.626083,,https://lms.bbmpgov.in/viewlakenew/38,bbmp-lms
39,Shivapura Lake,Dasarahalli,13.02449,77.50453,13.02449,77.50453,,https://lms.bbmpgov.in/viewlakenew/39,bbmp-lms
40,Nelagadarenahalli Lake,Dasarahalli,,,13.0245,17.5045,"outside Bengaluru, likely a typo",https://lms.bbmpgov.in/viewlakenew/40,bbmp-lms
41,Deepanjali Lake,South,12.949302,77.530909,12.949302,77.530909,,https://lms.bbmpgov.in/viewlakenew/41,bbmp-lms
42,Bagalaguntte Lake,Dasarahalli,13.058,77.4999,13.0580,77.4999,,https://lms.bbmpgov.in/viewlakenew/42,bbmp-lms
43,Kamagondanahalli Lake,Dasarahalli,13.0676,77.525,13.0676,77.5250,,https://lms.bbmpgov.in/viewlakenew/43,bbmp-lms
44,Gowdanapalya Lake,South,12.907639,77.556278,12.907639,77.556278,,https://lms.bbmpgov.in/viewlakenew/44,bbmp-lms
45,Dasarahalli Lake,Dasarahalli,13.0398,77.5137,13.0398,77.5137,,https://lms.bbmpgov.in/viewlakenew/45,bbmp-lms
47,Singapura Lake,Yelahanka,13.08522,77.53858,13.08522,77.53858,,https://lms.bbmpgov.in/viewlakenew/47,bbmp-lms
48,Yediyur Lake,South,12.933361,77.576694,12.933361,77.576694,,https://lms.bbmpgov.in/viewlakenew/48,bbmp-lms
49,Bellahalli Lake,Yelahanka,13.104397,77.642883,13.104397,77.642883,,https://lms.bbmpgov.in/viewlakenew/49,bbmp-lms
58,Doddabommasandra Lake,Yelahanka,13.064694,77.564028,13.064694,77.564028,,https://lms.bbmpgov.in/viewlakenew/58,bbmp-lms
59,Narasipura Lake-1 (survey no.20),Yelahanka,13.072694,77.558194,13.072694,77.558194,,https://lms.bbmpgov.in/viewlakenew/59,bbmp-lms
60,Narasipura Lake-2 (survey no.26),Yelahanka,13.076278,77.554444,13.076278,77.554444,,https://lms.bbmpgov.in/viewlakenew/60,bbmp-lms
61,Hulimavu Lake,Bommanahalli,12.870333,77.603361,12.870333,77.603361,,https://lms.bbmpgov.in/viewlakenew/61,bbmp-lms
62,Rachenahalli Lake,Yelahanka,13.061694,77.614861,13.061694,77.614861,,https://lms.bbmpgov.in/viewlakenew/62,bbmp-lms
63,Amruthahalli Lake,Yelahanka,13.062028,77.599111,13.062028,77.599111,,https://lms.bbmpgov.in/viewlakenew/63,bbmp-lms
64,Venkateshpura Lake,Yelahanka,13.077694,77.623583,13.077694,77.623583,,https://lms.bbmpgov.in/viewlakenew/64,bbmp-lms
65,Jakkur Lake,Yelahanka,13.085528,77.61125,13.085528,77.61125,,https://lms.bbmpgov.in/viewlakenew/65,bbmp-lms
66,Arekere Lake,Bommanahalli,12.882722,77.598944,12.882722,77.598944,,https://lms.bbmpgov.in/viewlakenew/66,bbmp-lms
67,Agrahara Lake,Yelahanka,13.089528,77.625194,13.089528,77.625194,,https://lms.bbmpgov.in/viewlakenew/67,bbmp-lms
68,Chokkanahalli Lake,Yelahanka,13.081917,77.636667,13.081917,77.636667,,https://lms.bbmpgov.in/viewlakenew/68,bbmp-lms
69,Sarakki Lake,Bommanahalli,12.898833,77.579444,12.898833,77.579444,,https://lms.bbmpgov.in/viewlakenew/69,bbmp-lms
70,Thirumenahalli Lake,Yelahanka,13.092861,77.628444,13.092861,77.628444,,https://lms.bbmpgov.in/viewlakenew/70,bbmp-lms
71,Puttenahalli Lake (Bommanahalli),Bommanahalli,12.890222,77.587639,12.890222,77.587639,,https://lms.bbmpgov.in/viewlakenew/71,bbmp-lms
72,Kogilu Lake,Yelahanka,13.109639,77.6185,13.109639,77.6185,,https://lms.bbmpgov.in/viewlakenew/72,bbmp-lms
73,Palanahalli Lake (Kattigenahalli),Yelahanka,13.1163,77.6155,13.1163,77.6155,,https://lms.bbmpgov.in/viewlakenew/73,bbmp-lms
74,Ibblur Lake,Bommanahalli,12.922111,77.666583,12.922111,77.666583,,https://lms.bbmpgov.in/viewlakenew/74,bbmp-lms
75,Kattigenahalli Lake,Yelahanka,13.115861,77.616472,13.115861,77.616472,,https://lms.bbmpgov.in/viewlakenew/75,bbmp-lms
76,Bettahalli lake,Yelahanka,13.090917,77.551972,13.090917,77.551972,,https://lms.bbmpgov.in/viewlakenew/76,bbmp-lms
77,Shivanahalli Lake,Yelahanka,13.091417,77.595611,13.091417,77.595611,,https://lms.bbmpgov.in/viewlakenew/77,bbmp-lms
78,Mangammana Palya Lake,Bommanahalli,12.902083,77.639139,12.902083,77.639139,,https://lms.bbmpgov.in/viewlakenew/78,bbmp-lms
79,Allalasandra Lake,Yelahanka,13.091611,77.586222,13.091611,77.586222,,https://lms.bbmpgov.in/viewlakenew/79,bbmp-lms
80,Medi Agrahara Lake,Yelahanka,13.09897,77.52711,13.09897,77.52711,,https://lms.bbmpgov.in/viewlakenew/80,bbmp-lms
81,Kodige Singasandra Lake,Bommanahalli,12.877806,77.641861,12.877806,77.641861,,https://lms.bbmpgov.in/viewlakenew/81,bbmp-lms
82,Vaderahalli lake,Yelahanka,13.09439,77.541,13.09439,77.541,,https://lms.bbmpgov.in/viewlakenew/82,bbmp-lms
83,Singasandra Lake,Bommanahalli,12.882278,77.645497,12.882278,77.645497,,https://lms.bbmpgov.in/viewlakenew/83,bbmp-lms
84,Yalahanka Lake,Yelahanka,13.112917,77.594694,13.112917,77.594694,,https://lms.bbmpgov.in/viewlakenew/84,bbmp-lms
