rauId,annexure,list,status,serial,tankNo,name,zone,taluk,areaHa,condition,landUse,recommendation,agency,page,source
a4-3,4,city,live,3,346,Hennur tank,Between Bellary Road and Madras Road,,25.80,The tank is located towards west of Hennur village. Water is being polluted by Industrial wastes. This) should be stopped. eee L,Portion in the tank is earmarked for perk & open apaces,"To develop foreshore planting. The BLW,.,3,5.B should immediately divert sullage water and industrial waste from the tank",Forest Dept,52,rau-1986
a4-4,4,city,live,4,343,Kacharakeanahalli Tank,Between Bellary Road and Madras Road,,22.57,The tank is located towards west of Kacharakanahealli villege. There is wate} pollution which should be immediately diverted by B.W.S.S.B,"Part of scheme where residential, industrial & park & open spaces are proposed","As a decision is taken by Govt.to locate a modern, Abbatior by BAFCO hence no proposals are made",,53,rau-1986
a4-5,4,city,live,5,341,Challakere Tank,Between Bellary Road and Madras Road,,10.32,The tank is located near Challakere village towards east of Hennur Road,Park & Open spaces,It is ineluded in BDA schemes Foreshore planting is recommended and when surrounding area is developed tree park to be developed,Forest Dept,53,rau-1986
a4-6,4,city,live,6,330,(a)Basavanapuratank,Between Bellary Road and Madras Road,,,"The tank is located towards the down stream side of E.R, Puram tank",Park & open Spaces,To develop tree park when the surrounding area gets developed,Forest Dept,53,rau-1986
a4-7,4,city,live,7,220,K.R. Puram Tank,Between Bellary Road and Madras Road,,21.78,The tank is located towards north east of K.R. Puram villege and is ebutting Old Madras Road,Park & Open spaces where Watersheet is retained. AT,"Poreshore planting and watersheet to be retained when surrounding area gets developed. Watersheet to be. maintained, wee ey","Forest Dept. & B.W.S,S.B",53,rau-1986
a4-8,4,city,live,8,329,Kowdenehalli Tank,Between Bellary Road and Madras Road,,18.06,"The tank is located towards north of I,f,I.Colony. The bund is in good condition, Some encroachments are seen in the shore area",Park and open spaces,Foreshore planting & to develop tree park When the surrounding area gets developed,Forest Dept,54,rau-1986
a4-9,4,city,live,9,327,Viginapura Tank,Between Bellary Road and Madras Road,,6.45,It is a small tank surrounded by unauthorised. conetructions,Park& open spaces,To develop tree park,Forest Dept,54,rau-1986
a4-10,4,city,live,10,228,Tank east of Parappana Agrahara,Between Madras Road and Hosur Road,,15.65,The tank is located adjoining New Central Jail,Park & open Spaces,Foreshore planting,Forest Dept,54,rau-1986
a4-11,4,city,live,11,226,Kasavanahalli Tank,Between Madras Road and Hosur Road,,17.42,The tank is located near Sarjapura Road,Park & open spaces,Poreshore planting. To develop tree park when surrounding area gets developed,Forest Dept,54,rau-1986
a4-12,4,city,live,12,227,Melinakere Amblipura,Between Madras Road and Hosur Road,,19.33,The tank is located near Sexjapura Road and near Agar ax,Park& open spaces,do,Forest Dept,54,rau-1986
a4-13,4,city,live,13,228,Kaikendanehelli Tank,Between Madras Road and Hosur Road,,27.09,The tank is located near Sarjapura Road,Park & open spaces,do,Forest Dept,54,rau-1986
a4-14,4,city,live,14,,Tank east of Haralur,Between Madras Road and Hosur Road,,5.16,The tank is located in the interior area south of Sarjapur Road,Partly Fark & open spaces partly pelt,dogreen,Forest Dept,54,rau-1986
a4-15,4,city,live,15,230,Kelaginakere Amblipura,Between Madras Road and Hosur Road,,3.23,The tank is located in the interior area near Sarjapura Road,Park and open Spaces,Foreshore planting to develop tree park when the surrounding area gets developed,Forest Dept,55,rau-1986
a4-16,4,city,live,16,231,Tank east of Lbblur,Between Madras Road and Hosur Road,,9.03,The tank is located near Sarjapura Road,Park and open spaces,do,Forest Dept,55,rau-1986
a4-17,4,city,live,17,278,ageram tank,Between Madras Road and Hosur Road,,48.38,The tank is located along Sarjapura Road towards awest of Agaram village. The tank is covered with water Hyacinth which requires deweeding immediately,Park and open spaces,do- & tourist facilities by K.S.3.D.C,Forest Dept.& KSTDC,55,rau-1986
a4-18,4,city,live,18,202,Urumundina-~ kere Vibhuthipure,Between Madras Road and Hosur Road,,14.83,"The tank is located in the interior and north of HAL industrial area, There are brick kilns in the tank bed",Park and open Bpace,Foreshore planting to develop tree park when the surrounding area gets developed,Forest Dept,55,rau-1986
a4-19,4,city,live,19,503,Melinakere Byrasandra,Between Madras Road and Hosur Road,,5.48,"The tank is located in the interior area, The atchkat is. in. good condition",Park and open spaces,do,Forest Dept,55,rau-1986
a4-20,4,city,live,20,304,Kelaginakere Byrasandra,Between Madras Road and Hosur Road,,4.52,The tank is within. HAL. industrial area,Industrial use,No proposals,,55,rau-1986
a4-21,4,city,live,21,306,Tank east of Benniganahalli,Between Madras Road and Hosur Road,,20.64,"The tank is located adjoining Salem Railway Line along Madras road and towards east of the village, Atchkat area is developed with some factories",Park & openspaces,"Foreshore planting, Water sheet to be retained",Forest Dept.& KSTDC,55,rau-1986
a4-22,4,city,live,22,307,Kaggadasapura Tank,Between Madras Road and Hosur Road,,17.74,The tank is located to east of Kaggadasapura near Salen Railway line,Park > oper speces,Foreshore planting. To develop tree park when the surrounding area gets deva- Loped,Forest Dept,56,rau-1986
a4-23,4,city,live,23,309,"B.Narayanapuca Tank, 7",Between Madras Road and Hosur Road,,8.06,The tank is located towards south of B.Nerayanapurse Village,Park & epen spaces,doa an,Forest Dept,56,rau-1986
a4-24,4,city,live,24,310,Tank east of Mahad evapure,Between Madras Road and Hosur Road,,,The tank is a smell one adjoining Mehadevapura village,"Partly industrial, partly green belt",To develop tree park,Forest Dept,56,rau-1986
a4-25,4,city,live,25,312,Tank west of Doddanaksxundi,Between Madras Road and Hosur Road,,47.08,The tank is adjoining Doddanakiuntii village near Salem Railway line,park & open epaces,"Foreshore planting, to develop tree park when the surr—- ounding area gets developed",Forest Dept,56,rau-1986
a4-26,4,city,live,26,315,Chanappane halli tanks (3 tenks),Between Madras Road and Hosur Road,,411.13,TheAanks are located near Varthur Road to the north of village,Regicnal park,To develop as Regional park,Forest Dept,56,rau-1986
a4-27,4,city,live,27,315,Kundelahalli tank,Between Madras Road and Hosur Road,,40.48,"The tank is located near road connecting Varthur Road and Whitefield Road, Some developments are seen in the Atchkat area",Park & open spaces,To develop as tree park,Forest Dept,56,rau-1986
a4-28,4,city,live,28,325,Dyavasandre Tank,Between Madras Road and Hosur Road,,5.81,The tank is located adjoining Medras Railway line to the north of Whitefield Road 50,Park & open spaces,To develop as tree park,Forest Dept,56,rau-1986
a4-29,4,city,live,29,237,Shingasandra Tank,Between Madras Road and Hosur Road,,0.6,The tank is located near Park & Open Hosur road near Shinga- spaces gandra village,,To develop as tree park,Forest Dept,57,rau-1986
a4-30,4,city,live,30,237,Garebhavipalya tank,Between Madras Road and Hosur Road,,9.03,The tank is located along Park and Hosur Roed open spaces,,™o develop as tree park,Forest Dept,57,rau-1986
a4-31,4,city,live,31,237(b),Bank south of Mangammenapelya,Between Madras Road and Hosur Road,,3.23,The tank is located along Park and Hosur Road. open. spaces,,To develop as tree park,Boxset Tot,57,rau-1986
