source,slNo,parcelIndex,zone,zoneRaw,lakeName,taluk,nameTalukRaw,village,surveyNumbers,villageSurveyRaw,acres,guntas,areaAcres,status,statusRaw,problem
bbmp-custody,40,1,Yelahanka,Yelahanka zone,Yelahanka kere,Bangalore North (Additional),Yelahanka kere / Bangalore North Additional,Kenchenahalli,15,Kenchenahalli-15,30,6,30.15,developed,Developed lake,
bbmp-custody,40,2,Yelahanka,Yelahanka zone,Yelahanka kere,Bangalore North (Additional),Yelahanka kere / Bangalore North Additional,Venkatala,39,Venkatala-39,199,31,199.775,developed,Developed lake,
bbmp-custody,40,3,Yelahanka,Yelahanka zone,Yelahanka kere,Bangalore North (Additional),Yelahanka kere / Bangalore North Additional,Manchenahalli,19,Manchenahalli-19,7,34,7.85,developed,Developed lake,
bbmp-custody,41,0,Yelahanka,Yelahanka zone,Veerasagara lake,Bangalore North (Additional),Veerasagara lake Bangalore North Addl,Veerasagara,26,Veerasagara-26,17,24,17.6,developed,Developed lake,
bbmp-custody,41,1,Yelahanka,Yelahanka zone,Veerasagara lake,Bangalore North (Additional),Veerasagara lake Bangalore North Addl,Attur,25,Attur-25,3,30,3.75,developed,Developed lake,
bbmp-custody,42,0,Yelahanka,Yelahanka zone,Attur Lake,Bangalore North (Additional),Attur Lake / Bangalore North Additional,Attur,81,Attur-81,56,29,56.725,developed,Developed lake,
bbmp-custody,42,1,Yelahanka,Yelahanka zone,Attur Lake,Bangalore North (Additional),Attur Lake / Bangalore North Additional,Ananthapura,92,Ananthapura-92,6,15,6.375,developed,Developed lake,
bbmp-custody,42,2,Yelahanka,Yelahanka zone,Attur Lake,Bangalore North (Additional),Attur Lake / Bangalore North Additional,Ramagondanahalli,39,Ramagondanahalli-39,7,22,7.55,developed,Developed lake,
bbmp-custody,42,3,Yelahanka,Yelahanka zone,Attur Lake,Bangalore North (Additional),Attur Lake / Bangalore North Additional,Kempanahalli,12,Kempanahalli-12,19,18,19.45,developed,Developed lake,
bbmp-custody,43,0,Yelahanka,Yelahanka zone,Narasipura-20,Bangalore North (Additional),Narasipura-20 Bangalore North Addl,Bangalore North,,Bangalore North,15,13,15.325,developed,Developed lake,"columns shifted in the source: name cell holds village-survey, village cell holds the taluk"
bbmp-custody,44,0,Yelahanka,Yelahanka zone,Chokkanahalli lake,Bangalore North (Additional),Chokkanahalli lake Bangalore North Addl,Chokkanahalli,2,Chokkanahalli-2,8,2,8.05,developed,Developed lake,
bbmp-custody,44,1,Yelahanka,Yelahanka zone,Chokkanahalli lake,Bangalore North (Additional),Chokkanahalli lake Bangalore North Addl,Jakkur,15,Jakkur-15,39,21,39.525,developed,Developed lake,
bbmp-custody,44,2,Yelahanka,Yelahanka zone,Chokkanahalli lake,Bangalore North (Additional),Chokkanahalli lake Bangalore North Addl,Jakkur,16,Jakkur-16,3,1,3.025,developed,Developed lake,
bbmp-custody,45,0,Yelahanka,Yelahanka zone,Jakkur lake (Sampigehalli Lake),,Jakkur lake (Sampigehalli Lake),Jakkur,23,Jakkur-23,36,33,36.825,developed,Developed lake,
bbmp-custody,45,1,Yelahanka,Yelahanka zone,Jakkur lake (Sampigehalli Lake),,Jakkur lake (Sampigehalli Lake),Yelahanka amanikere,55,Yelahanka amanikere -55,58,16,58.4,developed,Developed lake,
bbmp-custody,45,2,Yelahanka,Yelahanka zone,Jakkur lake (Sampigehalli Lake),,Jakkur lake (Sampigehalli Lake),Sampigehalli,12,Sampigehalli-12,19,25,19.625,developed,Developed lake,
bbmp-custody,45,3,Yelahanka,Yelahanka zone,Jakkur lake (Sampigehalli Lake),,Jakkur lake (Sampigehalli Lake),Agrahara,13,Agrahara-13,3,17,3.425,developed,Developed lake,
bbmp-custody,46,0,Yelahanka,Yelahanka zone,Ramagondanahalli,Bangalore North (Additional),Ramagondanahalli Bangalore North Addl,Ramagondanahalli,52,Ramagondanahalli-52,36,26,36.65,developed,Developed lake,
bbmp-custody,47,0,Yelahanka,Yelahanka zone,,Bangalore North,Bangalore North,Allalasandra,15,Allalasandra-15,41,23,41.575,developed,Developed lake,lake name missing in the source; name cell holds only the taluk
bbmp-custody,48,0,Yelahanka,Yelahanka zone,Avalahalli,Bangalore North (Additional),Avalahalli / Bangalore North Addi,Avalahalli,10,Avalahalli-10,11,1,11.025,developed,Developed lake,
bbmp-custody,48,1,Yelahanka,Yelahanka zone,Avalahalli,Bangalore North (Additional),Avalahalli / Bangalore North Addi,Singanayakanahalli,64,Singanayakanahalli- 64,2,10,2.25,developed,Developed lake,
bbmp-custody,49,0,Yelahanka,Yelahanka zone,Narasipura-26,Bangalore North (Additional),Narasipura-26 Bangalore North Addl,Narsipura,26,Narsipura-26,9,11,9.275,developed,Developed lake,
bbmp-custody,50,0,Yelahanka,Yelahanka zone,Doddabommasandra lake,Bangalore North (Additional),Doddabommasandra lake / Bangalore North Additional,Tindlu,53,Tindlu-53,35,28,35.7,developed,Developed lake,
bbmp-custody,50,1,Yelahanka,Yelahanka zone,Doddabommasandra lake,Bangalore North (Additional),Doddabommasandra lake / Bangalore North Additional,DBSandra,56,DBSandra-56,39,10,39.25,developed,Developed lake,
bbmp-custody,50,2,Yelahanka,Yelahanka zone,Doddabommasandra lake,Bangalore North (Additional),Doddabommasandra lake / Bangalore North Additional,Kodigihally,175,Kodigihally-175,49,21,49.525,developed,Developed lake,
bbmp-custody,51,0,Yelahanka,Yelahanka zone,136 (Palanahalli lake),,136 (Palanahalli lake),Kattigenahalli,136,Kattigenahalli- 136,25,28,25.7,developed,Developed lake,name cell starts with a survey number
bbmp-custody,52,0,Yelahanka,Yelahanka zone,Rachenahalli lake,Bangalore North (Additional),Rachenahalli lake/ Bangalore North Additional,Rachenahalli,69,Rachenahalli-69,19,36,19.9,developed,Developed lake,
bbmp-custody,52,1,Yelahanka,Yelahanka zone,Rachenahalli lake,Bangalore North (Additional),Rachenahalli lake/ Bangalore North Additional,Dasarahalli,61,Dasarahalli -61,73,23,73.575,developed,Developed lake,
bbmp-custody,52,2,Yelahanka,Yelahanka zone,Rachenahalli lake,Bangalore North (Additional),Rachenahalli lake/ Bangalore North Additional,Jakkur,82,Jakkur-82,76,2,76.05,developed,Developed lake,
bbmp-custody,54,0,Bommanahalli,Bommanahalli Zone,Kudlu doddakere,Anekal,Kudlu doddakere / Anekal,Kudlu,150,Kudlu-150,27,21,27.525,developed,Developed lake,
bbmp-custody,54,1,Bommanahalli,Bommanahalli Zone,Kudlu doddakere,Anekal,Kudlu doddakere / Anekal,Parappana Agrahara,37,Parappana Agrahara-37,17,28,17.7,developed,Developed lake,
bbmp-custody,55,0,Mahadevapura,Mahadevpura Zone,Challakere Lake,Bangalore East,Challakere Lake /East taluk,Challakere,85,Challakere -85,38,5,38.125,developed,Developed lake,
bbmp-custody,56,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,H Gollahalli kere,Bangalore South,H Gollahalli kere/ Bangalore South,Hemmagipura,25,Hemmagipura-25,7,25,7.625,developed,Developed lake,
bbmp-custody,56,1,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,H Gollahalli kere,Bangalore South,H Gollahalli kere/ Bangalore South,H. Gollahalli,9,H. Gollahalli-09,7,8,7.2,developed,Developed lake,
bbmp-custody,56,2,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,H Gollahalli kere,Bangalore South,H Gollahalli kere/ Bangalore South,varahasandra,9,varahasandra-09,4,33,4.825,developed,Developed lake,
bbmp-custody,57,0,Mahadevapura,Mahadevpura Zone,Kalkere,Bangalore East,Kalkere / Bangalore East taluk,Kalkere,45,Kalkere-45,73,11,73.275,developed,Developed lake,
bbmp-custody,57,1,Mahadevapura,Mahadevpura Zone,Kalkere,Bangalore East,Kalkere / Bangalore East taluk,Kyalasanahalli,36,Kyalasanahalli-36,51,19,51.475,developed,Developed lake,
bbmp-custody,57,2,Mahadevapura,Mahadevpura Zone,Kalkere,Bangalore East,Kalkere / Bangalore East taluk,Beelisivale,101,Beelisivale-101,0,37,0.925,developed,Developed lake,
bbmp-custody,57,3,Mahadevapura,Mahadevpura Zone,Kalkere,Bangalore East,Kalkere / Bangalore East taluk,Horamavu Agra,36,Horamavu Agra- 36,61,11,61.275,developed,Developed lake,
bbmp-custody,58,0,Mahadevapura,Mahadevapura,Mahadevapura Lake,Bangalore East,Mahadevapura Lake /East taluk,Mahadevapura,7,Mahadevapura-7,26,23,26.575,developed,Developed lake,
bbmp-custody,59,0,Dasarahalli,Dasarahalli,Kamgondanahalli Kere,Bangalore North,Kamgondanahalli Kere Bangalore North,Kamgondanahalli,18,Kamgondanahalli- 18,15,26,15.65,developed,Developed lake,
bbmp-custody,59,1,Dasarahalli,Dasarahalli,Kamgondanahalli Kere,Bangalore North,Kamgondanahalli Kere Bangalore North,Shetty halli,67,Shetty halli-67,5,32,5.8,developed,Developed lake,
bbmp-custody,59,2,Dasarahalli,Dasarahalli,Kamgondanahalli Kere,Bangalore North,Kamgondanahalli Kere Bangalore North,Medarahalli,26,Medarahalli-26,1,32,1.8,developed,Developed lake,
bbmp-custody,60,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Kunte,,Kunte/ Bangalore,Vajarahalli,36,Vajarahalli-36,2,31,2.775,developed,Developed lake,
