id,records,species,birdRecords,birdSpecies,firstYear,lastYear,recordsLast5Years,topBirds,datasets,ebirdShare,source
pattandur-agrahara-kunte8,0,0,0,0,,,0,,,,gbif-2026-09
pattandur-agrahara-kunte9,0,0,0,0,,,0,,,,gbif-2026-09
peddanapalya-lake,0,0,0,0,,,0,,,,gbif-2026-09
peenya-kunte1,0,0,0,0,,,0,,,,gbif-2026-09
peenya-kunte10,0,0,0,0,,,0,,,,gbif-2026-09
peenya-kunte11,0,0,0,0,,,0,,,,gbif-2026-09
peenya-kunte2,14,14,14,14,2024,2024,14,Acridotheres fuscus (Jungle Myna);Acridotheres tristis (Common Myna);Ardeola grayii (Indian Pond-Heron);Columba livia (Rock Pigeon);Copsychus saularis (Oriental Magpie-Robin);Corvus splendens (House Crow);Dicrurus macrocercus (Black Drongo);Leptocoma zeylonica (Purple-rumped Sunbird);Pavo cristatus (Indian Peafowl);Psilopogon viridis (White-cheeked Barbet),EOD – eBird Observation Dataset,1.0,gbif-2026-09
peenya-kunte3,0,0,0,0,,,0,,,,gbif-2026-09
peenya-kunte4,0,0,0,0,,,0,,,,gbif-2026-09
peenya-kunte5,0,0,0,0,,,0,,,,gbif-2026-09
peenya-kunte6,0,0,0,0,,,0,,,,gbif-2026-09
peenya-kunte7,1,1,1,1,2025,2025,1,Aquila clanga (Greater spotted eagle),iNaturalist Research-grade Observations,0.0,gbif-2026-09
peenya-kunte8,0,0,0,0,,,0,,,,gbif-2026-09
peenya-kunte9,0,0,0,0,,,0,,,,gbif-2026-09
peenya-plantation-kunte,0,0,0,0,,,0,,,,gbif-2026-09
peltanahalli-lake,1,1,0,0,2026,2026,1,,iNaturalist Research-grade Observations,0.0,gbif-2026-09
pillaganahalli-kunte,0,0,0,0,,,0,,,,gbif-2026-09
pindkur,0,0,0,0,,,0,,,,gbif-2026-09
pindkur-timmanahalli-kere,406,89,406,89,2021,2024,40,Coracias benghalensis (Indian Roller);Dicrurus macrocercus (Black Drongo);Elanus caeruleus (Black-shouldered Kite);Halcyon smyrnensis (White-throated Kingfisher);Haliastur indus (Brahminy Kite);Milvus migrans (Black Kite);Psittacula krameri (Rose-ringed Parakeet);Spilopelia chinensis (Spotted Dove);Vanellus indicus (Red-wattled Lapwing);Ardea alba (Great Egret),EOD – eBird Observation Dataset,1.0,gbif-2026-09
prabhakarnagar-2r,0,0,0,0,,,0,,,,gbif-2026-09
purushanahalli-kere,0,0,0,0,,,0,,,,gbif-2026-09
puttayyanahalli-kere,0,0,0,0,,,0,,,,gbif-2026-09
puttenahalli-kere,0,0,0,0,,,0,,,,gbif-2026-09
puttenahalli-kunte-3,0,0,0,0,,,0,,,,gbif-2026-09
