key,ringPixelCount,ringTreePct,ringShrubPct,ringGrassPct,ringCropPct,ringBuiltPct,ringBarePct,ringWaterPct,ringWetlandPct,insidePixelCount,insideWaterPct,insideWetlandPct,insideBuiltPct,source
laggeri-govt-katte,12855,18.4,9.1,1.9,2.9,66.3,1.3,0.1,0.0,317,0.0,0.0,40.1,esa-worldcover-2021
laggeri-katte,11862,5.1,0.0,0.0,0.0,94.9,0.0,0.0,0.0,123,0.0,0.0,43.1,esa-worldcover-2021
laggeri-lake,13219,2.3,0.4,0.2,6.2,90.7,0.2,0.0,0.0,291,0.0,0.0,35.4,esa-worldcover-2021
lakkanapalya-lake,13843,14.8,14.6,10.4,56.2,3.5,0.6,0.0,0.0,337,43.3,0.0,0.0,esa-worldcover-2021
lakkanapalya-lake-2,13478,30.6,9.0,12.2,41.3,5.7,1.2,0.0,0.0,247,0.4,0.0,0.0,esa-worldcover-2021
lakkayanapalya-kere,19139,17.0,11.1,12.5,47.5,10.7,1.3,0.0,0.0,1168,0.0,0.0,0.1,esa-worldcover-2021
lakkayanapalya-kere-2,11217,33.0,18.4,20.3,12.6,13.5,2.2,0.0,0.0,73,20.5,0.0,0.0,esa-worldcover-2021
lakkayanapalya-kere-3,11128,32.4,17.5,12.5,23.8,12.7,1.2,0.0,0.0,68,0.0,0.0,0.0,esa-worldcover-2021
lakkenahalli-kere,14835,25.9,32.1,3.7,29.3,8.7,0.3,0.0,0.0,447,0.0,0.0,0.0,esa-worldcover-2021
lakkenahalli-kere-2,15833,9.3,2.2,3.2,77.2,5.1,2.9,0.0,0.0,620,8.7,0.0,0.0,esa-worldcover-2021
lakkenahalli-kere-3,13432,19.4,16.8,1.4,58.1,4.3,0.0,0.0,0.0,352,25.6,0.0,0.0,esa-worldcover-2021
lakkenahalli-kunte-1,10394,3.0,10.5,12.1,54.9,18.7,0.8,0.0,0.0,22,0.0,0.0,18.2,esa-worldcover-2021
lakkuru-lake,18191,36.3,3.1,4.1,29.4,26.3,0.7,0.0,0.0,1435,1.3,0.0,0.0,esa-worldcover-2021
lakshmipura-kere,12767,23.6,5.5,4.2,32.3,33.1,1.3,0.0,0.0,200,0.0,0.0,0.0,esa-worldcover-2021
lakshmipura-kere-2,19473,13.8,23.2,8.6,43.8,10.3,0.2,0.0,0.0,921,59.4,0.0,0.0,esa-worldcover-2021
lakshmipura-kunte,11247,20.4,2.5,3.3,17.8,55.7,0.4,0.0,0.0,93,0.0,0.0,20.4,esa-worldcover-2021
lakshmipura-kunte1,10771,32.6,4.8,19.0,13.4,27.3,0.8,2.0,0.0,51,0.0,0.0,0.0,esa-worldcover-2021
lakshmipura-kunte2,9994,24.6,11.3,17.3,25.0,20.3,0.2,1.4,0.0,10,0.0,0.0,30.0,esa-worldcover-2021
lakshmipura-lake,15438,34.3,8.8,16.0,18.7,21.9,0.3,0.0,0.0,526,25.9,0.0,0.2,esa-worldcover-2021
lakshmipura-lake-2,14730,14.5,11.0,5.1,15.3,51.5,2.1,0.4,0.0,397,42.6,0.0,15.1,esa-worldcover-2021
lakshmisagar-a-kunte1,10081,3.8,13.1,3.1,73.9,4.1,1.8,0.3,0.0,11,0.0,0.0,0.0,esa-worldcover-2021
lakshmisagar-a-kunte2,10400,5.0,3.5,5.8,79.7,4.7,1.1,0.4,0.0,28,0.0,0.0,0.0,esa-worldcover-2021
lakshmisagara-kere,13770,17.0,4.3,2.9,71.1,2.6,1.7,0.4,0.0,171,26.3,0.0,0.0,esa-worldcover-2021
lalagondanahalli-kere,13927,16.8,21.2,5.5,52.1,3.8,0.6,0.0,0.0,288,3.5,0.0,0.0,esa-worldcover-2021
lalbagh-kere,20717,39.5,1.7,1.2,1.3,55.5,0.5,0.2,0.0,1666,78.7,0.0,0.0,esa-worldcover-2021
lingadeeranahalli-kunte,10247,15.4,3.7,6.3,22.2,51.8,0.6,0.0,0.0,21,0.0,0.0,61.9,esa-worldcover-2021
lingadheeranahalli-karabu-katte,12106,7.6,0.7,2.6,6.2,82.7,0.1,0.0,0.0,133,0.0,0.0,1.5,esa-worldcover-2021
lingadhiragollonahalli-kere,13461,6.9,4.6,6.2,73.2,6.4,2.8,0.0,0.0,335,0.0,0.0,0.0,esa-worldcover-2021
linganahalli-kere,15705,10.9,9.5,2.1,73.4,4.0,0.1,0.0,0.0,590,5.9,0.0,0.0,esa-worldcover-2021
linganahalli-kunte-1,10599,22.3,7.8,0.9,59.4,9.7,0.0,0.0,0.0,36,0.0,0.0,27.8,esa-worldcover-2021
linganahalli-kunte-2,9698,14.2,11.1,2.6,69.4,2.2,0.1,0.4,0.0,3,0.0,0.0,0.0,esa-worldcover-2021
lingapura-lake,14829,0.9,6.4,6.7,84.6,0.3,1.0,0.0,0.0,569,0.0,0.0,0.0,esa-worldcover-2021
lingapura-lake-2,12845,31.4,25.8,4.8,36.2,1.8,0.0,0.0,0.0,241,0.0,0.0,0.0,esa-worldcover-2021
lingapura-lake-3,14274,28.8,28.3,2.3,36.6,4.0,0.0,0.0,0.0,396,0.0,0.0,0.0,esa-worldcover-2021
lingaraja-sagara-kunte-1,11072,4.3,9.6,5.3,71.7,9.1,0.1,0.0,0.0,74,0.0,0.0,6.8,esa-worldcover-2021
lingaraja-sagara-kunte2,10082,15.7,16.1,2.1,51.3,14.6,0.3,0.0,0.0,12,0.0,0.0,16.7,esa-worldcover-2021
lingarajapura-lake,11953,22.1,35.3,4.5,31.2,6.2,0.8,0.0,0.0,127,0.0,0.0,0.0,esa-worldcover-2021
lingarajapura-lake-1,14712,3.4,0.0,0.0,0.0,96.4,0.1,0.0,0.0,753,0.0,0.0,98.7,esa-worldcover-2021
lingarajapura-lake-2,11547,13.9,0.1,0.2,0.2,85.3,0.3,0.1,0.0,120,0.0,0.0,96.7,esa-worldcover-2021
lingdir-malasandra-lake,18449,2.7,26.7,1.7,57.7,10.2,0.5,0.5,0.0,1520,28.4,0.0,0.0,esa-worldcover-2021
lower-medhalli-kere,15778,3.2,7.6,28.3,47.6,12.6,0.7,0.0,0.0,603,0.0,0.0,0.2,esa-worldcover-2021
machanahalli-kere,18045,9.0,8.7,3.2,75.1,2.8,1.2,0.0,0.0,994,0.0,0.0,0.0,esa-worldcover-2021
machohalli-chikkere,17288,19.5,16.7,5.2,46.1,12.0,0.2,0.2,0.0,1033,87.5,0.0,0.0,esa-worldcover-2021
madagondanahalli-kere,27037,12.2,10.0,0.9,73.5,3.4,0.0,0.0,0.0,4034,0.0,0.0,0.0,esa-worldcover-2021
madapatna-lake,15151,7.7,12.6,5.5,41.4,21.4,10.5,1.0,0.0,426,4.5,0.0,0.0,esa-worldcover-2021
madappanahalli-kunte-1,10945,10.5,18.4,3.9,52.5,14.5,0.1,0.0,0.0,52,0.0,0.0,0.0,esa-worldcover-2021
madappanahalli-kunte-2,9835,15.7,6.0,4.3,63.0,10.9,0.0,0.0,0.0,6,0.0,0.0,0.0,esa-worldcover-2021
madappanahalli-kunte-3,9705,3.8,4.2,5.9,81.5,4.4,0.2,0.0,0.0,2,0.0,0.0,0.0,esa-worldcover-2021
madappanahalli-kunte-4,9967,13.0,15.1,5.1,61.7,4.9,0.1,0.0,0.0,8,0.0,0.0,0.0,esa-worldcover-2021
madappanahalli-kunte-5,9968,15.3,18.0,5.2,58.9,2.6,0.0,0.0,0.0,8,0.0,0.0,0.0,esa-worldcover-2021
madappanahalli-lake,12488,15.3,14.5,4.6,56.8,8.7,0.1,0.0,0.0,190,0.0,0.0,0.0,esa-worldcover-2021
madappanahalli-lake-2,13271,15.4,27.9,3.5,46.3,6.4,0.6,0.0,0.0,288,0.0,0.0,0.0,esa-worldcover-2021
madappanahalli-lake-2-2,14984,10.1,17.1,4.6,52.7,15.4,0.1,0.0,0.0,470,0.0,0.0,0.0,esa-worldcover-2021
madavara-kere,22654,27.8,3.6,4.4,20.5,43.2,0.6,0.0,0.0,2274,46.3,0.0,0.0,esa-worldcover-2021
madenahalli-lake,13084,8.6,3.0,2.6,81.9,3.5,0.4,0.0,0.0,249,12.4,0.0,0.4,esa-worldcover-2021
madhagar-kunte,10178,30.6,25.1,7.5,28.7,7.2,0.9,0.0,0.0,16,0.0,0.0,12.5,esa-worldcover-2021
madhure-kere,57976,14.8,14.3,1.5,65.6,3.7,0.1,0.0,0.0,29592,0.4,0.0,0.1,esa-worldcover-2021
madivala-lake,13844,10.8,8.2,14.1,52.3,14.3,0.2,0.0,0.0,364,0.0,0.0,0.0,esa-worldcover-2021
madivalam-lake,15411,15.2,14.0,7.7,52.7,10.4,0.1,0.0,0.0,457,12.5,0.0,0.0,esa-worldcover-2021
madiwala-lake,38497,10.7,0.2,0.5,1.4,86.6,0.4,0.0,0.0,10760,70.3,0.5,0.2,esa-worldcover-2021
mahadeva-kodigehalli-lake,34937,9.9,9.5,5.8,66.4,4.3,3.6,0.5,0.0,6675,0.5,0.0,0.0,esa-worldcover-2021
mahadevanakodag-lake,34238,8.3,3.2,4.7,71.5,8.3,4.0,0.0,0.0,6267,9.7,0.0,0.0,esa-worldcover-2021
mahadevapura-kere,16449,10.9,1.5,1.6,3.8,79.2,2.2,0.8,0.0,874,82.3,0.0,1.1,esa-worldcover-2021
mahalchouadenahalli-kere-n,20060,1.9,14.4,15.6,63.7,4.3,0.1,0.0,0.0,1878,0.0,0.0,0.3,esa-worldcover-2021
mahalchoudadenahalli-kere-e,15630,4.6,16.8,5.4,59.7,13.5,0.1,0.0,0.0,684,0.0,0.0,3.1,esa-worldcover-2021
mahanthalingapura-lake,12933,13.0,3.4,22.2,44.1,15.8,1.2,0.4,0.0,252,46.4,0.0,0.0,esa-worldcover-2021
mahimanapalya-lake,17130,14.8,24.9,4.9,40.3,14.7,0.4,0.0,0.0,1025,0.0,0.0,0.2,esa-worldcover-2021
mahimpura-kere,12014,9.5,2.1,1.4,80.3,5.9,0.1,0.7,0.0,120,0.0,0.0,0.0,esa-worldcover-2021
mailapura-kere,17416,26.0,13.7,7.3,48.9,3.9,0.1,0.1,0.0,784,64.8,0.0,0.0,esa-worldcover-2021
mailasandra-kere,18241,21.9,1.8,1.4,3.8,69.8,0.5,0.8,0.0,995,0.0,0.0,0.7,esa-worldcover-2021
maitanahalli-kere,15464,17.2,5.9,1.6,67.5,6.9,0.3,0.7,0.0,453,0.0,0.0,0.0,esa-worldcover-2021
majarevaradahalli-kunte,10495,51.5,44.5,3.4,0.0,0.0,0.2,0.3,0.0,32,0.0,0.0,0.0,esa-worldcover-2021
makali-kere,12035,17.3,6.2,5.4,15.8,52.3,3.0,0.0,0.0,184,0.0,0.0,5.4,esa-worldcover-2021
makanahalli-kere,23147,4.7,24.7,1.9,60.9,7.7,0.1,0.0,0.0,3885,0.0,0.0,0.2,esa-worldcover-2021
makanahalli-kere-s,18102,4.7,19.5,2.4,68.4,5.0,0.0,0.0,0.0,1384,0.0,0.0,0.0,esa-worldcover-2021
malagondanahalli-kere,12911,17.5,15.2,7.7,47.3,12.3,0.1,0.0,0.0,208,0.0,0.0,0.0,esa-worldcover-2021
malgalu-kunte,11134,8.2,0.4,0.3,0.2,90.6,0.3,0.0,0.0,80,0.0,0.0,100.0,esa-worldcover-2021
malgalu-lake,11549,3.6,4.0,0.0,0.7,91.5,0.1,0.0,0.0,34,0.0,0.0,5.9,esa-worldcover-2021
maligenahalli-kere,14930,6.4,4.3,9.7,67.4,11.0,1.0,0.1,0.0,554,70.8,0.0,0.0,esa-worldcover-2021
maligondanahalli-kunte1,10420,11.2,19.6,9.6,52.1,7.3,0.2,0.0,0.0,28,0.0,0.0,0.0,esa-worldcover-2021
maligondanahalli-kunte2,9828,15.6,24.1,5.1,45.0,10.3,0.0,0.0,0.0,6,0.0,0.0,33.3,esa-worldcover-2021
mallammana-katte,11170,36.0,36.8,3.6,19.5,4.0,0.1,0.0,0.0,76,39.5,0.0,0.0,esa-worldcover-2021
mallanayakanahalli-lake,23893,12.3,20.4,1.5,63.5,2.3,0.0,0.0,0.0,2065,0.0,0.0,0.0,esa-worldcover-2021
mallarabanavadi-kere,15924,12.0,10.2,2.2,58.8,14.6,2.2,0.0,0.0,815,59.4,0.0,0.0,esa-worldcover-2021
