empriNo,empriCode,name,nameOther,kind,status,statusText,regime,regimeText,district,taluk,hobli,village,lat,lon,latText,lonText,custodian,extentAcres,extentText,extentApprox,extentBasis,surveyNumbers,surveyNoText,year,yearText,rejuvenated,elevationM,maxDepthM,islands,inletDrains,wasteWeirs,sluiceGates,culverts,checkDams,fenceType,surroundingArea,presentStatus,waterUsage,convertedTo,convertedBy,visitDate,researcherVerified,remarks,waterSampled,waterSampleNote,sewageInflowCumecs,vegetationCover,vegetationType,aquaticFlora,fauna,visitingAnimals,encroachmentDirection,encroachedBy,encroachedFor,encroachmentPct,encroachmentKoliwadText,encroachmentKoliwadAcres,dumpingDirection,dumpingType,sewageInflow,pollutant,weeds,otherIssues,pdf,pdfPage,source,tables,coordProblem,fenceTypeText,presentStatusText,waterUsageText,vegetationCoverText,weedsText,vegetationTypeText,aquaticFloraText,faunaText,visitingAnimalsText,convertedByText,encroachedByText,encroachmentDirectionText,dumpingDirectionText,sewageInflowText,surroundingAreaText,convertedToText,encroachedForText,dumpingTypeText,pollutantText,custodianText,atlasCode,atlasName,atlasMiTankRegNo,atlasYearCreated,atlasYearRejuvenated,atlasPreservationAuthority,atlasTotalExtentText,atlasSourceOfWater,atlasUpstream,atlasDownstream,atlasCatchment,atlasRoads,atlasDrinkingWater,atlasWashing,atlasBathing,atlasLivestock,atlasIrrigation,atlasFishing,atlasCultural,atlasRecreation,atlasOtherUses,atlasAmphibians,atlasReptiles,atlasMammals,atlasDirectPollutants,atlasIndirectPollutants,atlasSewageInflowCumecs,atlasEncroachment,atlasSoilExcavation,atlasStrategies,atlasPage
881,BUBEBDktg_ku7-881,Kithaganuru Kunte 5,Govt. kunte,kunte,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru East,Bidarahalli,Kithaganuru,13.037028,77.703083,13°02ʹ13. 3ʺ,77°42ʹ11.1ʺ,ZP,0.625,0.25,False,,117,117,1920,1920,,893.0,1.5,,2,,,,,,"Layout, vacant land & coconut plantation",muddy,,,,2015-08-26,False,,False,Not Sampled,,partial,,,,birds,,,,,No data,,,,,,partial,,vol2_east,35,empri-2018,main;waterQuality;issues,,,Muddy,,Partial,Partially,,,,Birds,,,,,,"Layout, Vl. & Coconut plant.",,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,BUBEBDktg_ku8-882,Kithaganuru Kunte 6,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Kithaganuru,13.040972,77.696833,13°02ʹ27. 5ʺ,77°41ʹ48.6ʺ,ZP,0.225,0.09,False,,131,In Sy no 131,1920,1920,,888.0,,,,,,,,,"Layout, hill & eucalyptus plantation",,,Vacant land & eucalyptus plantation,public,2015-08-26,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,"Layout, hill & eucalyptus plant.",V.Land & Eucalyptus Plant.,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,BUBEBDkdp_ku1-883,Konadasapura kunte1,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Konadasapura,13.042222,77.759583,13°02ʹ32. 0ʺ,77°45ʹ34.5ʺ,ZP,0.5,0.20,False,,12,In Sy no 12,1922,1922,,888.0,,,,,,,,,Vacant land & layout,,,Layout,developers,2015-08-21,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Devloper,,,,,Vacant land & layout,Layout,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,BUBEBDkdp_ku2-884,Konadasapura kunte2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Konadasapura,13.042889,77.758389,13°02ʹ34. 4ʺ,77°45ʹ30.2ʺ,ZP,0.75,0.30,False,,16;18,In Sy no 16 & 18,1922,1922,,886.0,,,,,,,,,Layout & agriculture land,,,Agriculture land,farmers,2015-08-21,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Farmers,,,,,Layout & agri. land,Agriculture land,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,BUBEBDkdp_ku3-885,Konadasapura kunte3,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Konadasapura,13.0455,77.753028,13°02ʹ43. 8ʺ,77°45ʹ10.9ʺ,ZP,0.05,0.02 (SSLR),False,SSLR,24,In Sy no 24,1922,1922,,900.0,,,,,,,,,Settlement,,,Houses,public,2015-08-21,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,Settlement,Houses,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,BUBEBDkdp_ku4-886,Konadasapura kunte4,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Konadasapura,13.045722,77.754861,13°02ʹ44. 6ʺ,77°45ʹ17.5ʺ,ZP,0.1,0.04 (SSLR),False,SSLR,24,In Sy no 24,1922,1922,,900.0,,,,,,,,,"Eucalyptus plantation, vacant land & building",,,Vacant land,Nitesh Builders,2015-08-21,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Nitesh Builders,,,,,"Eucalyptus plant., Vl. & buliding",Vacant Land,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,BUBEBDkdp_kr5-887,Konadasapura kere,,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru East,Bidarahalli,Konadasapura,13.0475,77.755972,13°02ʹ51. 0ʺ,77°45ʹ21.5ʺ,ZP,8.575,8.23,False,,1;2;5,"In Sy no 1, 2 & 5",1922,1922,,896.0,2.0,,1,,1,,,wall,Agriculture & vacant land,muddy,irrigation;cattle feeding,,,2015-08-21,False,,True,,,partial,growing on bank,,birds;butterflies;dragonflies,,NW;ws,Nites Estate Buildes,Reserved to construct apartment,5,No data,,SE,Construction debris,,,partial,,vol2_east,36,empri-2018,main;waterQuality;issues;atlas,,Wall,Muddy,Irrigation & Cf,Partial,Partially,Growing on bank,,"B, Bf &Dr.fly",,,Nites Estate Buildes,NW & WS,SE,,Agri. & vacant Land,,Reserved to construct Apartment,Construction Debris,,ZP,BUBEBDkdp_kr5-887,Konadasapura Kere,,≈1922,,ZP,8.23,Rain & drin feed,,,Urban,1,,,,Yes,Yes,,,,,,,Cattle,Dumping of construction debris,,,Reserved to construct apartment (5%),,Construction Debris: Fence the lake and create awareness;Encroachment: Survey by consent Authority & evict the encroachment,276
888,BUBEBDkdp_ku6-888,Konadasapura kunte 5,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Konadasapura,13.048722,77.754861,13°02ʹ55. 4ʺ,77°45ʹ17.5ʺ,ZP,0.2,0.08 (SSLR),False,SSLR,2,In Sy no 2,1922,1922,,891.0,,,,,,,,,Vacant land & Konadasapura kere,,,Vacant land,unknown,2015-08-21,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Unknown,,,,,Vacant land & Konadasapura kere,Vacant Land,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,BUBEBDkdp_ku889,Konadasapura kunte 6,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Konadasapura,13.047861,77.752417,13°02ʹ52. 3ʺ,77°45ʹ08.7ʺ,ZP,0.55,0.22,False,,3,In Sy no 3,1922,1922,,901.0,,,,,,,,,"Vacant land, trees & bulid.",,,Vacant land & trees,unknown,2015-08-21,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Unknown,,,,,"Vacant land, trees & bulid.",Vacant Land & Trees,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,BUBEBDkba_gk1-890,Kumbenaagrahara Kunte,Karab kunte,katte,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru East,Bidarahalli,Kumbena Agrahara,12.999611,77.746083,12°59ʹ58. 6ʺ,77°44ʹ45.9ʺ,ZP,1.45,1.18,False,,24,In Sy no 24,1959,1959,,885.0,2.0,,1,,,1,,,"Eucalyptus plantation, apartments & railway track",muddy,cattle feeding,,,2015-08-31,False,,False,Not Sampled,,partial,growing on bank,emergent,,,,,,,0.1,0.25,W;S,Garbage & construction debris,,,partial,,vol2_east,36,empri-2018,main;waterQuality;issues,,,Muddy,Cattle Feeding,Partial,Partially,Growing on bank,Emergent,,,,,,"W, S",,"Eucalyptus plant., Apartments & Railway track",,,G & CD,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,BUBEBDmdh_ku1-891,Medihalli Kunte1,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Medihalli,13.026583,77.720222,13°01ʹ35. 7ʺ,77°43ʹ 12.8ʺ,ZP,0.35,0.14,False,,47,47,1920,1920,,882.0,,,,,,,,,Buildings,,,BBMP office & government school,government,2015-11-09,False,,False,,,,,,,,,,,,,,,,,,,RTC mentioned as Govt. Thippegundi,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,Buildings,BBMP Office & Govt. School,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,BUBEBDmdh_kr2-892,Medihalli kere,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Medihalli,13.028056,77.714167,13°01ʹ41. 0ʺ,77°42ʹ 51.0ʺ,BBMP,3.275,3.11,False,,95,95,1920,1920,,884.0,,,,,,,,,Vacant land,,,Vacant land,unknown,2015-11-09,False,,False,,,,,,,,,,,,,,,,,,,RTC is in name of individual,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Unknown,,,,,Vacant land,Vacant land,,,,BBMP,BUBEBDmdh_kr2-892,Medihalli Kere,,≈1920,,BBMP,3.11,,,,,,,,,,,,,,,,,,,,,,,,278
893,BUBEBDmdh_ku3-893,Medihalli Kunte2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Medihalli,13.028528,77.716956,13°01ʹ42. 7ʺ,77°43ʹ 1.04ʺ,ZP,0.125,0.05,False,,5,In Sy no 5,1920,1920,,886.0,,,,,,,,,Coconut plantation & farm house,,,Coconut plantation,farmers,2015-11-09,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Farmers,,,,,Coconut plant. & farm house,Coconut Plantation,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,BUBEBDmdh_ku4-894,Medihalli Kunte3,Govt. kunte,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Medihalli,13.029167,77.716861,13°01ʹ45. 0ʺ,77°43ʹ 00.7ʺ,ZP,0.15,0.06,False,,4,4,1920,1920,,884.0,,,,,,,,,Coconut plantation & farm house,,,Coconut plantation,farmers,2015-11-09,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,36,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Farmers,,,,,Coconut plant. & farm house,Coconut Plantation,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,BUBEBDmdh_ku5-895,Medihalli Kunte4,Govt. kunte,kunte,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru East,Bidarahalli,Medihalli,13.030472,77.716417,13°01ʹ49. 7ʺ,77°42ʹ 59.1ʺ,ZP,0.375,0.15,False,,8,8,1920,1920,,887.0,1.0,,1,,,,,,Houses,polluted,,,,2015-11-09,False,,False,Not Sampled,,partial,growing on bank,,,,,,,,No data,,aawb,"Construction debris, garbage & agriculture waste",NW,Sewage & road runoff,partial,,vol2_east,36,empri-2018,main;waterQuality;issues,,,Polluted,,Partially,Partial,Gr. on bank,,,,,,,AAWB,NW,Houses,,,"CD, Garbage & agri. waste",Sewage & Road runoff,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,BUBEBDnbk_gk1-896,Nimbekaipura Kunte 1,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Nimbekaipura,13.059556,77.7565,13°03ʹ34. 4ʺ,77°45ʹ23.4ʺ,ZP,1.1,1.04,False,,60,In Sy no 60,1959,1959,,899.0,,,,,,,,,Coconut plantation,,,Coconut plantation,farmers,2015-08-19,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,37,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Farmer,,,,,Coconut plantation,Coconut Plantation,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,BUBEBDnbk_kr2-897,Nimbekaipura Kere,,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru East,Bidarahalli,Nimbekaipura,13.056528,77.754694,13°03ʹ23. 5ʺ,77°45ʹ16.9ʺ,ZP,18.675,18.27,False,,42,42,1959,1959,,891.0,3.0,,1,1,1,,,,"Agriculture, plantation, graveyard & villas",muddy,irrigation;cattle feeding,,,2015-08-19,False,,False,Dry,,partial,growing on bank,,fish,,W;SE,farmers;public,Agriculture & graveyard,5,2.36,2.9,,,,,partial,,vol2_east,37,empri-2018,main;waterQuality;issues;atlas,,,Muddy,Irrigat. & Cattle Feeding,Partial,Partial,Gr. on Bank,,Fish,,,Farmer & Public,W & SE,,,"A, Pl, Graveyard & Villas",,Agriculture & Graveyard,,,ZP,BUBEBDnbk_kr2-897,Nimbekaipura Kere,,≈1959,,ZP,18.27,Rain & drin fed,,Huskuru Kere,Urban,1,,,,Yes,Yes,,,,,,,Cattle,,,,Agriculture & graveyard (5%),,Encroachment: Survey by consent Authority & evict the encroachment.,280
898,BUBEBDnbk_ku3-898,Nimbekaipura Kunte 2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Nimbekaipura,13.053139,77.759667,13°03ʹ11. 3ʺ,77°45ʹ34.8ʺ,ZP,0.025,0.01 (SSLR),False,SSLR,23,In Sy no 23,1959,1959,,891.0,,,,,,,,,"Vacant land, husklitepanels private ltd.",,,Vacant land & road,government,2015-08-19,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,37,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,"Vl., Husklitepanels Pvt. Ltd.",Vacant Land & Road,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,BUBEBDnbk_gk4-899,Nimbekaipura Katte,Govt. Kunte,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Nimbekaipura,13.051111,77.756111,13°03ʹ04. 0ʺ,77°45ʹ22.0ʺ,ZP,2.575,2.23,False,,29,In Sy no 29,1959,1959,,896.0,,,,,,,,,Commercial tax check post & vacant land,,,Commercial tax office & road,government,2015-08-19,False,,False,,,,,,,,,,,,,,,,,,,"As per RTC, 0.14 a-g is acquired for National Highway",vol2_east,37,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,Commercial tax check post & Vl.,Commercial Tax Office & Road,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,BUBEBDnbk_ku5-900,Nimbekaipura Kunte 3,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Nimbekaipura,13.061861,77.749139,13°03ʹ42. 7ʺ,77°44ʹ56.9ʺ,ZP,0.75,0.30 (SSLR),False,SSLR,75,In Sy no 75,1959,1959,,907.0,,,,,,,,,"Eucalyptus plantation, vacant land & building",,,Vacant land,unknown,2015-08-19,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,37,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Unknown,,,,,"Eucalyptus plant., Vl. & buliding",Vacant Land,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,BUBEBDseg_ku1-901,Seegihalli kunte1,,kunte,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru East,Bidarahalli,Sheegehalli,13.015111,77.766389,13°00ʹ54. 4ʺ,77°45ʹ59.0ʺ,ZP,0.5,≈0.20,True,,24,In Sy no 24,1920,1920,,870.0,1.0,,2,,,1,,thorn wire,"Settlement, apartment & graveyard",polluted,,,,2015-09-28,False,,False,Not Sampled,,partial,growing on bank,emergent,,,,,,,No data,,SW;NW,Garbage & construction debris,W,Sewage & road runoff,partial,,vol2_east,37,empri-2018,main;waterQuality;issues,,Thorn wire,Polluted,,Partial,Partial,Gr. on Bank,Emergent,,,,,,SW & NW,W,"Settlement, apartment & Graveyard",,,Garbage & CD,Sewage & Road runoff,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,BUBEBDseg_ku2-902,Seegihalli kunte2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Sheegehalli,13.014389,77.769167,"13° 00' 51.8""","77° 46' 09.0""",BBMP,0.075,≈0.03,True,,45,In Sy no 45,1920,1920,,870.0,,,,,,,,,Agriculture & vacant land,,,Agriculture land,farmers,2016-07-26,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,37,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Farmer,,,,,Agri. & vacant land,Agriculture land,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,BUBEBDseg_gk3-903,Seegihalli katte 1,Govt. kunte,katte,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru East,Bidarahalli,Sheegehalli,13.011333,77.765972,13°00ʹ40. 8ʺ,77°45ʹ57.5ʺ,ZP,1.025,1.01,False,,13,13,1920,1920,,880.0,1.0,,1,,,,,,"Settlement, agriculture land & eucalyptus plantation",dry,,,,2015-10-09,False,,False,Dry,,complete,growing on bank,emergent,,,,,,,,,SW,Garbage dump,NW,Sewage & road runoff,partial,,vol2_east,37,empri-2018,main;waterQuality;issues,,,Dry,,Complete,Partial,Gr. on Bank,Emergent,,,,,,SW,NW,"Settlement, Agri. Land & Eucalyptus plant.",,,Garbage Dump,Sewage & road runoff,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,BUBEBDseg_gk4-904,Seegihalli katte 2,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Sheegehalli,13.014722,77.760889,13°00ʹ53. 0ʺ,77°45ʹ39.2ʺ,ZP,1.95,≈1.38,True,,118,In Sy no 118,1920,1920,,870.0,,,,,,,,,Apartment & vacant land,,,Apartment,Alpine Vistula,2015-09-28,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,37,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Alpine Vistula,,,,,Apartment & vacant land,Apartment,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,BUBEBDvrn_ku1-905,Varanasi Kunte1,Varanasi kunte,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Varanasi,13.027333,77.693361,13° 01' 38.4ʺ,77° 41' 36.1ʺ,BBMP,0.15,≈0.06,True,,26;27,In Sy no 26 & 27,1933,1933,,902.0,,,,,,,,,"Vacant land, houses",,,Vacant land & houses,private,2016-07-26,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,37,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,"Vacant land, houses",Vacant land & houses,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,BUBEBDvrn_ku2-906,Varanasi Kunte2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Varanasi,13.025833,77.693278,13° 01' 33.0,77° 41' 35.8,BBMP,0.65,0.26 (SSLR),False,SSLR,28,In Sy no 28,1933,1933,,785.0,,,,,,,,,Vacant land & houses,,,Vacant land,unknown,2017-02-02,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,37,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Unknown,,,,,Vacant land & houses,Vacant land,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,BUBEBDvrn_kr3-907,Jinke Timmasandra Kere,Jimkenahalli Kere,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru East,Bidarahalli,Varanasi,13.0255,77.686861,"13° 01'31.8""",77°41ʹ12.7ʺ,BDA,8.6,8.24,False,,47,47,1933,1933,,826.0,3.0,0,1,0,1,0,0,mesh,Agriculture land & settlement,polluted,fishing;cattle feeding;religious activity,,,2016-01-12,False,,True,,,partial,growing on bank,emergent;free floating,birds,cattle,none,none,none,No,1.05,1.125,S,Garbage dump,S,Sewage,none,No,vol2_east,37,empri-2018,main;waterQuality;issues;atlas,,Mesh,Polluted,"Fishery, Cattle feeding, Relig. Activity",Partial,No,Growing on Bank,E & F.Float,Birds,Cattle,,No,No,South,South,Agri. Land & Settlement,,No,GD,Sewage,BDA,BUBEBDvrn_kr3-907,Jinke Timmasandra Kere,,≈1933,,BDA,8.24,Rain & drin fed,,,Urban,2,,,,Yes,,Yes,Yes,,,,,Cattle,Dumping of garbage dump,Sewage,No Flow through Storm water drain,,,Garbage Waste: Fence the lake and create awareness;Sewage Inflow: Provide UGD and connect to STP,282
908,BUBEBDver_kr1-908,Yellamallappashetti Kere,Avalahali kere,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru East,Bidarahalli,Veerenahalli,13.017361,77.73325,13°01ʹ02. 5ʺ,77°43ʹ 59.7ʺ,MI,490.375,490.15,False,,12;57 (Avalahalli);95;96 (Hirandahalli);2 (Kurudusonnenhalli);63 (Medahalli);29 (Veeranahalli),"12 & 57 (Avalahalli), 95 & 96 (Hirandahalli), 2(Kurudusonnenhalli), 63 (Medahalli) & 29 (Veeranahalli)",1921,1921,,866.0,3.0,,8,1,1,1,,wall;mesh,"Agriculture, layout, plantation, settlement & cipla factory",polluted,fishing;irrigation,,,2015-08-26,False,,True,,0.156,,,,fish,,SW;SE;N;NW;NE,government;private;public,"Road, BWSSB office, private school ground, bulidings, graveyard, agriculture & eucalyptus plantation",4,16.26,16.65,center of lake,"Garbage, construction debris, mud heap & plastic waste",NW;SW;E;S,Sewage & agriculture runoff,partial,,vol2_east,38,empri-2018,main;waterQuality;issues;atlas,,Wall and Mesh,Polluted,Fisheries & Irrigation,,Partially,,,Fish,,,"Govt., Pvt. & Public","SW, SE, N, NW & NE",Center of lake,"NW, SW, E & S","A, L, Pl., S & Cipla factory",,"Road, BWSSB office, Pvt. School ground, Bulidings, Graveyard, Agri. & Eucalyptus plant.","G, CD, mud heap & plastic Waste",Sewage & Agri. Runoff,MI,BUBEBDver_kr1-908,Yellamallappashetti Kere,,≈1921,,MI,508.01,Rain & drin feed,Rampura lake,Varthur kodi lake,Urban,2,,,,,Yes,Yes,,,,,,,"Dumping of g, construction debris, mud heap & plastic waste",Sewage & agriculture runoff,0.156,"Road, BWSSB office, private school ground, buildings, graveyard, agriculture & plantation",,Garbage waste & Construction debris: Fence the lake and create awareness;Sewage inflow: Provide UGD and connect to STP;Encroachment: Survey by consent Authority & evict the encroachment,284
909,BUBEBDver_ku2-909,Veeranahalli Kunte-1,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Veerenahalli,13.020361,77.736556,"13° 01'13.3""",77°44ʹ11.6ʺ,BBMP,0.375,0.15,False,,23;24,In Sy no 23 & 24,1958,1958,,866.0,,,,,,,,,Vacant land & yellamallappashety lake,,,Vacant land,unknown,2016-07-26,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,38,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Unknown,,,,,Vacant land & Yellamallappashety lake,Vacant land,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,BUBEBDver_ku3-910,Veeranahalli Kunte-2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru East,Bidarahalli,Veerenahalli,13.019833,77.735194,"13° 01'11.4""",77°44ʹ06.7ʺ,BBMP,0.1,0.04,False,,21,In Sy no 21,1958,1958,,866.0,,,,,,,,,Vacant land & yellamallappashety lake,,,Vacant land,unknown,2016-07-26,False,,False,,,,,,,,,,,,,,,,,,,,vol2_east,38,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Unknown,,,,,Vacant land & Yellamallappashety lake,Vacant land,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,BUBEBDyrp_kr1-911,Yarappanahalli Kere1,,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru East,Bidarahalli,Yarappanahalli,13.086833,77.734556,13°05ʹ12. 6ʺ,77°44ʹ04.4ʺ,MI,16.85,16.34,False,,2,2,1921,1921,,905.0,3.0,,2,1,,2,,wall,"Agriculture, plantation & temple",muddy,irrigation;cattle feeding,,,2015-08-18,False,,True,,,partial,growing on bank,emergent,birds;butterflies;dragonflies,,,,,,1.32,1.8,E;S,Construction debris & agriculture waste,,,,,vol2_east,38,empri-2018,main;waterQuality;issues;atlas,,wall,Muddy,Irrigation & Cf,Partial,,Growing on Bank,Emergent,"B, Bf &Dr.fly",,,,,E & S,,"A, Pl & Temple",,,CD & Agri.Waste,,MI,BUBEBDyrp_kr2-911,Yarappanahalli Kere1,,≈1921,,MI,16.34,Rain & drin fed,,Doddagubbi lake,Urban,2,,,,Yes,Yes,,,,,,,,Dumping of construction debris & agriculture waste,,,,,Construction Debris & Agri. Waste: Fence the lake and create awareness,286
912,BUBEBDyrp_kr2-912,Yarappanahalli Kere2,,kere,existing,Perennial,perennial,Perennial,Bengaluru Urban,Bengaluru East,Bidarahalli,Yarappanahalli,13.093778,77.684444,"13° 05'37.6""",77°41ʹ04.0ʺ,BBMP,14.325,14.13,False,,20,In Sy no 20,1921,1921,,913.0,5.0,0,0,0,0,0,0,none,Houses & vacant land,clean,washing,,,2016-07-23,False,,False,Dry,,none,none,none,none,none,none,none,none,No,No,,none,none,none,none,none,Quarry,vol2_east,38,empri-2018,main;waterQuality;issues;atlas,,No,Clean,Washing,No,No,No,No,No,No,,No,No,No,No,Houses & vacant land,,No,No,No,BBMP,BUBEBDyrp_kr2-912,Yarappanahalli Kere2,,≈1921,,BBMP,14.13,Rain,,,Urban,2,,Yes,,,,,,,,,,,,,,,,,288
