id,onMap1914,overlapPct1914,historicArea1914M2,source1914,onMap1927,overlapPct1927,historicArea1927M2,source1927,onMap1945,overlapPct1945,historicArea1945M2,source1945,onMap1955,overlapPct1955,historicArea1955M2,source1955,onMap1975,overlapPct1975,historicArea1975M2,source1975,source
kodigehalli-plantation-kunte-2,,,,,False,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
kodihalli-kere,True,9.7,58204,soi-57g8-1914,,,,,,,,,True,36.1,393418,ams-nd43-12-1955,True,15.7,94441,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
kodihalli-kere-2,True,37.4,150502,soi-57g16-1914,,,,,,,,,True,96.3,685560,ams-nd44-9-1955,True,70.6,423466,soi-57g16-1974,ams-nd44-9-1955;soi-57g16-1914;soi-57g16-1974
kodihalli-kere-3,,,,,,,,,True,12.7,62119,soi-57h9-1945,False,0.0,0,ams-nd44-13-1955,True,13.7,52484,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
kodihalli-kunte1,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
kodihalli-kunte2,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
kodipalya-kere,False,0.0,0,soi-57g8-1914,,,,,,,,,True,58.8,309046,ams-nd43-12-1955,True,90.7,331736,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
kodipura-lake,,,,,,,,,,,,,,0.0,0,ams-nd44-13-1955,,,,,ams-nd44-13-1955
kodlu-kunte-1,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
kodlu-kunte-2,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
kogilu-kere,,,,,True,56.4,156419,soi-57g12-1927,,,,,True,93.1,346264,ams-nd44-9-1955,True,61.5,164637,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
kogilu-kunte,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
kolapurapalya-kere,False,0.0,0,soi-57g8-1914,,,,,,,,,True,51.9,110603,ams-nd43-12-1955,True,82.0,106830,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
kolatur-kere,False,0.0,0,soi-57g16-1914,,,,,,,,,True,76.1,507456,ams-nd44-9-1955,True,19.8,78833,soi-57g16-1974,ams-nd44-9-1955;soi-57g16-1914;soi-57g16-1974
kolipura-kere,,,,,,,,,,,,,,0.0,0,ams-nd44-9-1955,False,0.0,0,soi-57g11-1975,ams-nd44-9-1955;soi-57g11-1975
kollipaya-2r,,0.0,0,soi-57g8-1914,,,,,,,,,,0.0,0,ams-nd43-12-1955,,0.0,0,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
kolur-kere,False,0.0,0,soi-57h5-1914,,,,,,,,,,0.0,0,ams-nd43-16-1955,True,32.1,15398,soi-57h5-1973,ams-nd43-16-1955;soi-57h5-1914;soi-57h5-1973
kolur-kere-2,,,,,,,,,,,,,True,77.9,517983,ams-nd44-9-1955,True,66.5,351632,soi-57g11-1975,ams-nd44-9-1955;soi-57g11-1975
