dataset,stationId,stationCode,stationName,sampleLocation,date,lat,lon,parameter,value,qualifier,belowDetection,detectionLimit,unit,statistic,rawValue,source
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,nitrate,4.26,,false,,mg/L as NO3,,4.26,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,totalHardness,132,,false,,mg/L as CaCO3,,132,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,fluoride,0.82,,false,,mg/L,,0.82,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,ph,9.46,,false,,,,9.46,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,zinc,0.38,,false,,mg/L,,0.38,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,copper,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,manganese,0.16,,false,,mg/L,,0.16,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,chloride,34,,false,,mg/L,,34,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,phosphate,0.1,,false,,mg/L as P,,0.1,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,tss,65.5,,false,,mg/L,,65.5,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,nitrate,26.00,,false,,mg/L as NO3,,26.00,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,totalHardness,84,,false,,mg/L as CaCO3,,84,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,fluoride,0.46,,false,,mg/L,,0.46,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,ph,7.22,,false,,,,7.22,dmg-2011
dmg-2011,attur-lake-outlet,,Attur Lake,Outlet,2011,,,zinc,0.19,,false,,mg/L,,0.19,dmg-2011
