source,mapId,villageCode,district,districtName,taluk,hobli,village,surveyNumber,surveyNumbers,mapImageUrl,imageFile,imageMissing,listPage,listRow
landrecords-lake-survey,198124,19812,Bangalore Rural,Bengaluru Rural,Doddaballapura,MADURE,KADANURU,4,4,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c198124.jpg,data/cache/landrecords_lakes/images/scanimages/198124.jpg,False,117,18
landrecords-lake-survey,1981250,19812,Bangalore Rural,Bengaluru Rural,Doddaballapura,MADURE,KADANURU,50,50,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1981250.jpg,data/cache/landrecords_lakes/images/scanimages/1981250.jpg,False,117,19
landrecords-lake-survey,1858040,18580,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,DASANAPURA2,KADARANAHALLI,40,40,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1858040.jpg,data/cache/landrecords_lakes/images/scanimages/1858040.jpg,False,118,0
landrecords-lake-survey,1984713,19847,Bangalore Rural,Bengaluru Rural,Doddaballapura,DODDABELAVANGALA,KADATIPPURU,13,13,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1984713.jpg,data/cache/landrecords_lakes/images/scanimages/1984713.jpg,False,118,1
landrecords-lake-survey,1984726,19847,Bangalore Rural,Bengaluru Rural,Doddaballapura,DODDABELAVANGALA,KADATIPPURU,26,26,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1984726.jpg,data/cache/landrecords_lakes/images/scanimages/1984726.jpg,False,118,2
landrecords-lake-survey,1984730,19847,Bangalore Rural,Bengaluru Rural,Doddaballapura,DODDABELAVANGALA,KADATIPPURU,30,30,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1984730.jpg,data/cache/landrecords_lakes/images/scanimages/1984730.jpg,False,118,3
landrecords-lake-survey,1984733,19847,Bangalore Rural,Bengaluru Rural,Doddaballapura,DODDABELAVANGALA,KADATIPPURU,33,33,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1984733.jpg,data/cache/landrecords_lakes/images/scanimages/1984733.jpg,False,118,4
landrecords-lake-survey,1984742,19847,Bangalore Rural,Bengaluru Rural,Doddaballapura,DODDABELAVANGALA,KADATIPPURU,42,42,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1984742.jpg,data/cache/landrecords_lakes/images/scanimages/1984742.jpg,False,118,5
landrecords-lake-survey,1984744,19847,Bangalore Rural,Bengaluru Rural,Doddaballapura,DODDABELAVANGALA,KADATIPPURU,44,44,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1984744.jpg,data/cache/landrecords_lakes/images/scanimages/1984744.jpg,False,118,6
landrecords-lake-survey,1865233,18652,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -4,KADIRENAHALLI,33,33,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1865233.jpg,data/cache/landrecords_lakes/images/scanimages/1865233.jpg,False,118,7
landrecords-lake-survey,1865255,18652,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -4,KADIRENAHALLI,55,55,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1865255.jpg,data/cache/landrecords_lakes/images/scanimages/1865255.jpg,False,118,8
landrecords-lake-survey,1911217,19112,BENGALURU,Bengaluru Urban,Bangalore-East,VARTURU2,KADUBEESANAHALLI,17,17,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1911217.jpg,,True,118,9
landrecords-lake-survey,1911238,19112,BENGALURU,Bengaluru Urban,Bangalore-East,VARTURU2,KADUBEESANAHALLI,38,38,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1911238.jpg,,True,118,10
landrecords-lake-survey,19148235,19148,BENGALURU,Bengaluru Urban,Bangalore-East,BIDARAHALLI1,KADUGODI,235,235,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c19148235.jpg,data/cache/landrecords_lakes/images/scanimages/19148235.jpg,False,118,11
landrecords-lake-survey,19148259,19148,BENGALURU,Bengaluru Urban,Bangalore-East,BIDARAHALLI1,KADUGODI,259,259,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c19148259.jpg,data/cache/landrecords_lakes/images/scanimages/19148259.jpg,False,118,12
landrecords-lake-survey,1847724,18477,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,KASABA1,KADUGONDANAHALLI,24,24,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1847724.jpg,data/cache/landrecords_lakes/images/scanimages/1847724.jpg,False,118,13
landrecords-lake-survey,18907109,18907,BENGALURU,Bengaluru Urban,Anekal,JIGANI,KADUJAKKANA HALLI,109,109,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c18907109.jpg,,True,118,14
landrecords-lake-survey,1890718,18907,BENGALURU,Bengaluru Urban,Anekal,JIGANI,KADUJAKKANA HALLI,18,18,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1890718.jpg,data/cache/landrecords_lakes/images/scanimages/1890718.jpg,False,118,15
landrecords-lake-survey,1974719,19747,Bangalore Rural,Bengaluru Rural,Doddaballapura,SASALU,KADUKUNTE,19,19,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1974719.jpg,data/cache/landrecords_lakes/images/scanimages/1974719.jpg,False,118,16
landrecords-lake-survey,1920925,19209,BENGALURU,Bengaluru Urban,Bangalore-East,Marathahalli,KAGGADASANAPURA,25,25,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1920925.jpg,data/cache/landrecords_lakes/images/scanimages/1920925.jpg,False,118,17
landrecords-lake-survey,2010717,20107,Bangalore Rural,Bengaluru Rural,Devanahalli,CHANNARAYAPATTANA,KAGGALAHALLI,17,17,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c2010717.jpg,data/cache/landrecords_lakes/images/scanimages/2010717.jpg,False,118,18
landrecords-lake-survey,201072,20107,Bangalore Rural,Bengaluru Rural,Devanahalli,CHANNARAYAPATTANA,KAGGALAHALLI,2,2,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c201072.jpg,data/cache/landrecords_lakes/images/scanimages/201072.jpg,False,118,19
landrecords-lake-survey,190301,19030,BENGALURU,Bengaluru Urban,Anekal,SARJAPURA2,KAGGALEEPURA,1,1,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c190301.jpg,data/cache/landrecords_lakes/images/scanimages/190301.jpg,False,119,0
landrecords-lake-survey,18638117,18638,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -2,KAGGALEEPURA,117,117,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c18638117.jpg,,True,119,1
landrecords-lake-survey,18638150,18638,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -2,KAGGALEEPURA,150,150,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c18638150.jpg,,True,119,2
landrecords-lake-survey,18638222,18638,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -2,KAGGALEEPURA,222,222,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c18638222.jpg,data/cache/landrecords_lakes/images/scanimages/18638222.jpg,False,119,3
landrecords-lake-survey,1863823,18638,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -2,KAGGALEEPURA,23,23,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1863823.jpg,,True,119,4
landrecords-lake-survey,1863826,18638,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -2,KAGGALEEPURA,26,26,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1863826.jpg,,True,119,5
landrecords-lake-survey,1863831,18638,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -2,KAGGALEEPURA,31,31,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1863831.jpg,,True,119,6
landrecords-lake-survey,18638312,18638,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -2,KAGGALEEPURA,312,312,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c18638312.jpg,,True,119,7
landrecords-lake-survey,1903044,19030,BENGALURU,Bengaluru Urban,Anekal,SARJAPURA2,KAGGALEEPURA,44,44,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1903044.jpg,data/cache/landrecords_lakes/images/scanimages/1903044.tif,False,119,8
landrecords-lake-survey,1863884,18638,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -2,KAGGALEEPURA,84,84,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1863884.jpg,,True,119,9
landrecords-lake-survey,1912736,19127,BENGALURU,Bengaluru Urban,Bangalore-East,VARTURU2,KAIKONDRAHALLI,36,36,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1912736.jpg,data/cache/landrecords_lakes/images/scanimages/1912736.jpg,False,119,10
landrecords-lake-survey,191278,19127,BENGALURU,Bengaluru Urban,Bangalore-East,VARTURU2,KAIKONDRAHALLI,8,8,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c191278.jpg,data/cache/landrecords_lakes/images/scanimages/191278.jpg,False,119,11
landrecords-lake-survey,18481153,18481,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,KASABA1,KAJARAKANAHALLI,153,153,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c18481153.jpg,data/cache/landrecords_lakes/images/scanimages/18481153.jpg,False,119,12
landrecords-lake-survey,1848146,18481,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,KASABA1,KAJARAKANAHALLI,46,46,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1848146.jpg,,True,119,13
landrecords-lake-survey,193772,19377,BENGALURU,Bengaluru Urban,Bangalore North(Additional),HESARUGHATTA2,KAKKEHALLI,2,2,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c193772.jpg,data/cache/landrecords_lakes/images/scanimages/193772.jpg,False,119,14
landrecords-lake-survey,1937720,19377,BENGALURU,Bengaluru Urban,Bangalore North(Additional),HESARUGHATTA2,KAKKEHALLI,20,20,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1937720.jpg,data/cache/landrecords_lakes/images/scanimages/1937720.jpg,False,119,15
landrecords-lake-survey,193776,19377,BENGALURU,Bengaluru Urban,Bangalore North(Additional),HESARUGHATTA2,KAKKEHALLI,6,6,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c193776.jpg,data/cache/landrecords_lakes/images/scanimages/193776.jpg,False,119,16
landrecords-lake-survey,193779,19377,BENGALURU,Bengaluru Urban,Bangalore North(Additional),HESARUGHATTA2,KAKKEHALLI,9,9,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c193779.jpg,data/cache/landrecords_lakes/images/scanimages/193779.jpg,False,119,17
landrecords-lake-survey,1969720,19697,Bangalore Rural,Bengaluru Rural,Doddaballapura,KASABA,KAKKENAHALLI,20,20,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1969720.jpg,,True,119,18
