qid,labelEn,labelKn,aliasesEn,aliasesKn,description,lat,lon,instanceOf,instanceOfQids,enwiki,knwiki,image,commonsCategory,osmRelation,osmWay,areaM2,inception,geonamesId,heritageStatus,possibleDuplicateOf,source
Q106416239,Begur Lake,,,,lake in India,12.874717,77.627994,lake,Q23397,Begur Lake,,,,,,,,,,,wikidata-2026-09
Q106416269,Varthur Lake,,,,lake in India,12.9525,77.7425,lake,Q23397,Varthur Lake,,Varthur Lake 4-19-2014 1-39-09 PM.JPG,,,,,,,,,wikidata-2026-09
Q106416301,Uttarahalli Lake,ಉತ್ತರಹಳ್ಳಿ ಕೆರೆ,,,"lake in Bangalore, India",12.907708,77.541067,lake,Q23397,,,"Uttarahalli lake, Bangalore (2025) 15.jpg",Uttarahalli Lake,,,,,,,,wikidata-2026-09
Q107639021,Kaggadasapura Lake,,,,lake in India,12.980317,77.668386,lake,Q23397,Kaggadasapura Lake,,,,,,,,,,,wikidata-2026-09
Q107639034,Kempambudhi Lake,ಕೆಂಪಾಂಬುಧಿ ಕೆರೆ,,,lake in Bangalore,12.951389,77.560833,lake,Q23397,Kempambudhi Lake,,"Kempambudhi lake, Bangalore (2024) 20.jpg",Kempambudhi lake,,,,,,,,wikidata-2026-09
Q107639060,Doddakallasandra Lake,,,,lake in Karnataka,12.882033,77.561522,lake,Q23397,Doddakallasandra Lake,,,,,,,,,,,wikidata-2026-09
Q107645662,Rachenahalli Lake,ರಾಚೇನಹಳ್ಳಿ ಕೆರೆ,,,"lake in Bangalore, Karnataka",13.063333,77.611944,lake,Q23397,Rachenahalli Lake,,Rachenahalli lake (2024) 70.jpg,Rachenahalli lake,,,,,,,,wikidata-2026-09
Q127104022,Nayandahalli lake,,,,"lake in Nayandahalli, Rajarajeshwari Nagar, Bangalore",12.939978,77.521465,lake,Q23397,,,Nayandahalli lake (2024) 04.jpg,Nayandahalli lake,,,60703,,11858794,,,wikidata-2026-09
Q129102020,Kelagiankare lake,ಕೆಳಗಿಯನ್ಕೆರೆ ಸರೋವರ,,,"lake in Bagmane Tech Park, C. V. Raman Nagar, Bengaluru, Karnataka",12.977278,77.663644,lake,Q23397,,,"Bagmane Tech Park, Bangalore (2024) 125.jpg",Kelagiankare lake,,,,2023-03-26,,,,wikidata-2026-09
Q141285008,Dharmambudhi Lake,,,,"former historic reservoir in Bengaluru, India",12.9779,77.5721,,,Dharmambudhi Lake,,,,,,,,,,,wikidata-2026-09
