osmId,name,nameKn,place,lat,lon,source
node/10296444933,RV Layout,,neighbourhood,12.9986435,77.5834429,osm-places-2026-09
node/10298313288,D'Souza Layout,,neighbourhood,12.9696296,77.5968003,osm-places-2026-09
node/10302647654,ITI Colony,,neighbourhood,13.0338733,77.5678459,osm-places-2026-09
node/10310634652,Kuvempu Nagar 1st Stage,,neighbourhood,13.0694142,77.5401252,osm-places-2026-09
node/10310634699,Doddabettahalli,ದೊಡ್ಡಬೆಟ್ಟಹಳ್ಳಿ,neighbourhood,13.0945892,77.5544482,osm-places-2026-09
node/10310634700,Rainbow Layout,,neighbourhood,13.1007546,77.5393796,osm-places-2026-09
node/10310636348,Muneshwara Layout,,neighbourhood,13.0968412,77.5407422,osm-places-2026-09
node/10310636349,Kuvempu Nagar 2nd Stage,,neighbourhood,13.0729153,77.5402433,osm-places-2026-09
node/10310636358,Kanshiram Nagar,,neighbourhood,13.0895889,77.5389719,osm-places-2026-09
node/10310636365,Adithyanagara,ಆದಿತ್ಯನಗರ,neighbourhood,13.0857328,77.5511706,osm-places-2026-09
node/10310636385,Vinayaka Nagara,ವಿನಾಯಕ ನಗರ,neighbourhood,13.0831464,77.5446314,osm-places-2026-09
node/10314103445,Manjunath Nagar,ಮಂಜುನಾಥ ತಗರ,neighbourhood,13.0540222,77.4939162,osm-places-2026-09
node/10572417851,Prakash Nagar,ಪ್ರಕಾಶ್ ನಗರ,neighbourhood,12.9948984,77.5635409,osm-places-2026-09
node/10573135961,Mount Joy,,neighbourhood,12.9397405,77.5616822,osm-places-2026-09
node/10604644054,Lottegollahalli,ಲೊಟ್ಟೆಗೊಲ್ಲಹಳ್ಳಿ,neighbourhood,13.0441348,77.5651503,osm-places-2026-09
node/10607453283,Maruthi Nagara,,neighbourhood,13.1076199,77.6070517,osm-places-2026-09
node/10607453284,Venkatala,,neighbourhood,13.1122071,77.6026475,osm-places-2026-09
node/10632956835,Yellukunte,ಯಲ್ಲುಕುಂಟೆ,neighbourhood,12.9044961,77.6415825,osm-places-2026-09
node/10667163084,Siddhartha Nagar,ಸಿದ್ಧಾರ್ಥನಗರ,neighbourhood,12.9574233,77.6366023,osm-places-2026-09
node/10667163085,Gowtham Colony,,neighbourhood,12.9574749,77.6398407,osm-places-2026-09
node/10676129241,Royal Placid Layout,,neighbourhood,12.9007678,77.6577616,osm-places-2026-09
node/10691162170,Sonnappanahalli,ಸೊಣ್ಣಪ್ಪನಹಳ್ಳಿ,hamlet,13.1566133,77.6174047,osm-places-2026-09
node/10695343187,Gollarahatti,ಗೊಲ್ಲರಹಟ್ಟಿ,quarter,12.9893002,77.4745667,osm-places-2026-09
node/10702267161,Bhoganahalli,ಭೋಗನಹಳ್ಳಿ,neighbourhood,12.9265141,77.7009129,osm-places-2026-09
node/10729766608,Munniswamy Garden,,neighbourhood,12.9497693,77.623145,osm-places-2026-09
node/10739618731,Virannapalya,,neighbourhood,13.0406772,77.6133289,osm-places-2026-09
node/10752210897,Bodiganapalya,ಬೋದಿಗಾನ ಪಾಳ್ಯ,hamlet,13.0117195,77.2672441,osm-places-2026-09
node/10752210898,Matturayanegudipalya,ಮುತ್ತುರಾಯನ ಗುಡಿ ಪಾಳ್ಯ,hamlet,13.0176484,77.267404,osm-places-2026-09
node/10752210899,Kadarayyanpalya,ಕಡರಯ್ಯನಪಾಳ್ಯ,hamlet,13.0168525,77.2548974,osm-places-2026-09
node/10752210900,Narayanapura,ನಾರಾಯಣಪುರ,hamlet,13.0059083,77.2507718,osm-places-2026-09
node/10752210901,Kempachikkanahalli,ಕೆಂಪಚಿಕ್ಕನಹಳ್ಳಿ,hamlet,13.0346917,77.2921337,osm-places-2026-09
node/10752210902,Naganahalli,ನಾಗನಹಳ್ಳಿ,hamlet,13.0319195,77.2854499,osm-places-2026-09
node/10752210903,Tirumalapura,ತಿರುಮಲಾಪುರ,hamlet,13.020481,77.2939272,osm-places-2026-09
node/10752210904,Torechenahalli,ತೊರೆಚೇನಹಳ್ಳಿ,hamlet,12.9984027,77.2717928,osm-places-2026-09
node/10752279305,Dasegoudanapalya,ದಾಸೆಗೌಡನ ಪಾಳ್ಯ,hamlet,13.0250591,77.2865766,osm-places-2026-09
node/10752279306,Kottaganahalli,ಕೊಟ್ಟಗನಹಳ್ಳಿ,hamlet,13.0122436,77.2850962,osm-places-2026-09
node/10752279307,Hiregaudanapalya,ಹಿರೆಗೌಡನಪಾಳ್ಯ,hamlet,13.0024312,77.2654602,osm-places-2026-09
node/10752279308,Sidaganahalli,ಸಿಡಗನಹಳ್ಳಿ,village,13.0258442,77.2552367,osm-places-2026-09
node/10752279309,Koratagere,ಕೊರಟಗೆರೆ,hamlet,13.054097,77.3337241,osm-places-2026-09
node/10752279310,Kallenapalya,,hamlet,13.0423259,77.3248486,osm-places-2026-09
node/10752279311,Bidanapalya,ಬೀದನಪಾಳ್ಯ,hamlet,13.0206547,77.3278688,osm-places-2026-09
node/10752279312,Lingenahalli,ಲಿಂಗೇನಹಳ್ಳಿ,hamlet,13.0508516,77.3240094,osm-places-2026-09
node/10752279313,Kadukorenahalli,ಕಾಡು ಕೋರೇನಹಳ್ಳಿ,hamlet,13.0542299,77.3155151,osm-places-2026-09
node/10752279314,Gundammanapalya,ಗುಂಡಮ್ಮನ ಪಲ್ಯ,hamlet,13.0300959,77.3267688,osm-places-2026-09
node/10752279315,Kodihalli,ಕೋಡಿಹಳ್ಳಿ,hamlet,13.0246329,77.2981894,osm-places-2026-09
node/10752279316,Gejjagalpalya,ಗೆಜ್ಜಗಲ್ ಪಾಳ್ಯ,hamlet,13.0307422,77.3129523,osm-places-2026-09
node/10752279317,Hunsegatapalya,ಹುಣಸೆಘಟ್ಟ ಪಾಳ್ಯ,hamlet,13.0238522,77.3366013,osm-places-2026-09
node/10752279318,Magadi Rangappanapalya,ಮಾಗಡಿ ರಂಗಪ್ಪನಪಾಳ್ಯ,hamlet,13.0359993,77.2994699,osm-places-2026-09
node/10752279319,Tarehosapalya,ತಾಯಪ್ಪನ ದೊಡ್ಡಿ,hamlet,13.0260995,77.3291921,osm-places-2026-09
node/10752279320,Gandhigrama,ಗಾಂಧಿಗ್ರಾಮ,hamlet,13.0473147,77.3393355,osm-places-2026-09
node/10753151414,Judicial Officer's Layout,,neighbourhood,13.0342601,77.574479,osm-places-2026-09
node/10753151513,Ramakrishna Layout,,neighbourhood,13.027232,77.5806494,osm-places-2026-09
node/10760556149,Indira Gandhi Colony,,neighbourhood,12.9460051,77.6247597,osm-places-2026-09
node/10761806275,BDA Jnanabharathi Residential Enclave,,neighbourhood,12.9197902,77.4894315,osm-places-2026-09
node/10761808764,Vijayashree Layout,,neighbourhood,12.9139498,77.4917114,osm-places-2026-09
node/10763445357,Krishnappa Layout,ಕೃಷ್ಣಪ್ಪ ಬಡಾವಣೆ,neighbourhood,12.9233875,77.5301421,osm-places-2026-09
node/10763445378,Veerabhadra Nagara,ವೀರಭದ್ರ ನಗರ,neighbourhood,12.9382936,77.5349593,osm-places-2026-09
node/10795162705,Ashokapuram,ಅಶೋಕಪುರಂ,neighbourhood,13.0148047,77.5476086,osm-places-2026-09
node/10795162722,Shankar Nagar,ಶಂಕರನಗರ,neighbourhood,13.0159128,77.5437301,osm-places-2026-09
node/10796263247,Ramaswamypalya,,neighbourhood,13.0097427,77.6368886,osm-places-2026-09
node/10831664286,Swimming Pool Extension,,neighbourhood,12.9995765,77.5746989,osm-places-2026-09
node/10833830941,Valluvarpuram,,neighbourhood,12.9951048,77.568377,osm-places-2026-09
node/10853169837,Shakambari Nagar,ಶಾಕಾಂಬರಿನಗರ,neighbourhood,12.9135785,77.5759435,osm-places-2026-09
node/10895959920,M Nanjappa Layout,,neighbourhood,13.0643377,77.6396566,osm-places-2026-09
node/10924790341,Kuvempu Nagar,ಕುವೆಂಪು ನಗರ,neighbourhood,12.9144469,77.6137532,osm-places-2026-09
node/10931504796,JP Nagar 9th Phase,,neighbourhood,12.8681419,77.5628221,osm-places-2026-09
node/10931504797,BOOHBCS Layout,,neighbourhood,12.8720746,77.553885,osm-places-2026-09
node/10931529962,Thippasandra,ತಿಪ್ಪಸಂದ್ರ,quarter,12.8744383,77.5579029,osm-places-2026-09
node/10931529974,Narayana Nagara,ನಾರಾಯಣ ನಗರ,neighbourhood,12.8818851,77.5553977,osm-places-2026-09
node/10931529975,PNB Layout,,neighbourhood,12.8789514,77.5636965,osm-places-2026-09
node/10931529976,MKS Layout,,neighbourhood,12.8766766,77.5603169,osm-places-2026-09
node/10937785408,Vinayaka Nagara,ವಿನಾಯಕ ನಗರ,neighbourhood,12.9498895,77.5992519,osm-places-2026-09
node/10946865133,Byrathi Bande,ಬೈರತಿ ಬಂಡೆ,quarter,13.0705325,77.6552081,osm-places-2026-09
node/10978335945,Parangipalya,ಪರಂಗಿಪಾಳ್ಯ,neighbourhood,12.9074791,77.6510668,osm-places-2026-09
node/10979388393,Sapthagiri Layout,ಸಪ್ತಗಿರಿ ಬಡಾವಣೆ,neighbourhood,12.921981,77.5358552,osm-places-2026-09
node/10979969456,Mariappanapalya,ಮರಿಯಪ್ಪನ ಪಾಳ್ಯ,neighbourhood,12.9972636,77.5544858,osm-places-2026-09
node/10983994555,Isaac Layout,,neighbourhood,13.1157467,77.5772202,osm-places-2026-09
node/10983994602,KEB Layout,ಕೆಇಬಿ ಲೇಔಟ್,neighbourhood,13.125289,77.5818014,osm-places-2026-09
node/10983994603,Kenchenahalli,ಕೆಂಚೇನಹಳ್ಳಿ,neighbourhood,13.1200124,77.5849342,osm-places-2026-09
node/10984067985,Vinayaka Layout,ವಿನಾಯಕ ಬಡಾವಣೆ,neighbourhood,13.1136647,77.5780195,osm-places-2026-09
node/10984582462,Surabhi Layout,,neighbourhood,13.0930374,77.6002443,osm-places-2026-09
node/10984687880,Veerasagara,ವೀರಸಾಗರ,neighbourhood,13.1050754,77.5539386,osm-places-2026-09
node/10984720097,GKVK Layout,,neighbourhood,13.0827075,77.6034629,osm-places-2026-09
node/10990039924,Niranthara Layout,,neighbourhood,13.1313282,77.6337397,osm-places-2026-09
node/1099038300,Vakil Marina Layout,ವಕಿಲ್ ಮರಿನ ಲೇಔಟ್,neighbourhood,12.9015883,77.6176267,osm-places-2026-09
node/11051170145,Silver Springs Layout,,neighbourhood,12.9582324,77.7098778,osm-places-2026-09
node/11061935339,Arkavathy Layout 6th Block,,neighbourhood,13.0607459,77.6405073,osm-places-2026-09
node/11096503499,Ramiah Reddy Layout,,neighbourhood,12.9942742,77.7211999,osm-places-2026-09
node/11096574641,Hoody Garden,,neighbourhood,12.994363,77.7203698,osm-places-2026-09
node/11096782368,Basappa Garden,,neighbourhood,12.9959346,77.576897,osm-places-2026-09
node/11111178668,Kempapura,ಕೆಂಪಾಪುರ,neighbourhood,12.9464756,77.6725164,osm-places-2026-09
node/11119054566,Adarsh Nagar,ಆದರ್ಶ ನಗರ,neighbourhood,13.0305452,77.609433,osm-places-2026-09
node/11119054567,Kaveri Nagar,ಕಾವೇರಿನಗರ,neighbourhood,13.0326126,77.6096168,osm-places-2026-09
node/11146697522,Gruhalaxmi Layout,,neighbourhood,13.0288457,77.4985886,osm-places-2026-09
node/11148749657,Rashad Nagar,,neighbourhood,13.0281505,77.6177591,osm-places-2026-09
node/11148749699,Munirangappa Layout,,neighbourhood,13.0186149,77.6057133,osm-places-2026-09
node/11148749743,Modi Garden,,neighbourhood,13.0165243,77.6024035,osm-places-2026-09
node/11148749755,Periyar Nagar,,neighbourhood,13.0099704,77.6121074,osm-places-2026-09
node/11148749850,Sagayapura,,neighbourhood,13.0054097,77.6132409,osm-places-2026-09
node/11163238064,Yadiyurappa Nagara,,neighbourhood,13.1514508,77.5608292,osm-places-2026-09
node/11182347131,Shankarapuram,ಶಂಕರಾಪುರಂ,neighbourhood,12.9528538,77.5703309,osm-places-2026-09
node/11183843915,Avalakuppe,ಅವಲಕುಪ್ಪೆ,village,12.9999686,77.3291802,osm-places-2026-09
node/11183843916,Hosahalli,ಹೊಸಹಳ್ಳಿ,village,12.9892113,77.3353815,osm-places-2026-09
node/11183843917,Goravanahalli,ಗೊರವನಹಳ್ಳಿ,village,12.9816632,77.346282,osm-places-2026-09
node/11183843918,Narasimhapalya,ನರಸಿಂಹಪಾಳ್ಯ,village,12.998275,77.3640168,osm-places-2026-09
node/11183843919,Bolamaranahalli,ಬೋಳಮಾರನಹಳ್ಳಿ,village,13.0270949,77.3667955,osm-places-2026-09
node/11183843920,Bhattarahalli,ಭಟ್ಟರಹಳ್ಳಿ,village,13.0497553,77.3464107,osm-places-2026-09
node/11187206091,Srigandhakavalu,,quarter,12.9786535,77.5017455,osm-places-2026-09
node/11211419484,Saraipalya,ಸಾರಾಯಿ ಪಾಳ್ಯ,neighbourhood,13.0504294,77.6278389,osm-places-2026-09
node/11212690216,Rehamathnagara,,neighbourhood,13.0174886,77.5919026,osm-places-2026-09
node/11218370403,Vinayaka Nagar,,neighbourhood,12.9872184,77.5230958,osm-places-2026-09
node/11218370404,Sharada Colony,,neighbourhood,12.9900561,77.5359135,osm-places-2026-09
node/11218370405,NGOs Colony,,neighbourhood,12.9960324,77.5257991,osm-places-2026-09
node/11218370406,Kirloskar Colony,,neighbourhood,12.9971785,77.529404,osm-places-2026-09
node/11218370407,Vrishabha Nagar,,neighbourhood,12.9908822,77.5223306,osm-places-2026-09
node/11218370408,Meenakshi Nagar,ಮೀನಾಕ್ಷಿನಗರ,neighbourhood,12.9881855,77.5323333,osm-places-2026-09
node/11218370409,Teacher's Colony,,neighbourhood,12.9961064,77.5372599,osm-places-2026-09
node/11218370410,Syndicate Bank Colony,,neighbourhood,12.9798772,77.5286425,osm-places-2026-09
node/11218370411,Prem Nagar,,neighbourhood,12.9964086,77.5229642,osm-places-2026-09
node/11218370412,Shakthi Ganapathi Nagar,,neighbourhood,12.993783,77.5360361,osm-places-2026-09
node/11278785760,Annapoorneshwari Nagara,,neighbourhood,12.9807183,77.5068873,osm-places-2026-09
node/11279791943,Teacher's Colony,,neighbourhood,12.9151498,77.5675669,osm-places-2026-09
node/11292971679,Devarabeesanahalli,ದೇವರಬೀಸನಹಳ್ಳಿ,quarter,12.9268618,77.6895136,osm-places-2026-09
node/11293087531,KSRTC Layout,,neighbourhood,12.9128386,77.5934931,osm-places-2026-09
node/11293105794,BHBCS Layout,,neighbourhood,12.9151812,77.6006358,osm-places-2026-09
node/11304473527,Sarakki,ಸಾರಕ್ಕಿ,neighbourhood,12.9087511,77.5798635,osm-places-2026-09
node/1132756443,Mavatturu,ಮಾವತ್ತೂರು,village,13.4500883,77.3325872,osm-places-2026-09
node/1134502257,Devarayanadurga,ದೇವರಾಯನ ದುರ್ಗ,village,13.3726702,77.2075933,osm-places-2026-09
node/11423253044,Mathru Layout,ಮಾತೃ ಬಡಾವಣೆ,neighbourhood,13.0970606,77.5748438,osm-places-2026-09
node/11438633051,BEL Layout,ಬಿಇಎಲ್ ಲೇಔಟ್,quarter,13.0729675,77.554357,osm-places-2026-09
node/11448931999,LIG 3rd Stage,,neighbourhood,13.096158,77.5776681,osm-places-2026-09
node/11472015231,Ashraya Layout,,neighbourhood,12.9858241,77.7054539,osm-places-2026-09
node/11475161450,Shanubhoganahalli,ಶಾನುಭೋಗನಹಳ್ಳಿ,village,12.8271011,77.5611484,osm-places-2026-09
node/11518167879,AKG Colony,,neighbourhood,12.9819454,77.7619868,osm-places-2026-09
node/11518167880,VS Reddy Colony,,neighbourhood,12.9911506,77.7640629,osm-places-2026-09
node/11518309802,Navrathna Agrahara,ನವರತ್ನ ಅಗ್ರಹಾರ,village,13.1998803,77.6349682,osm-places-2026-09
node/11520857374,Narayanapura,,hamlet,13.162786,77.601462,osm-places-2026-09
node/11536170592,Seegehalli,ಸೀಗೆಹಳ್ಳಿ,village,13.0164845,77.71748,osm-places-2026-09
node/11547008940,Channahalli,,hamlet,13.1792446,77.6210099,osm-places-2026-09
node/11547018157,Maranayakanahalli,ಮಾರನಾಯಕನಹಳ್ಳಿ,neighbourhood,13.1681426,77.6476496,osm-places-2026-09
node/11547019657,Razak Palya,,neighbourhood,13.1494449,77.6586842,osm-places-2026-09
node/11554651483,Kaikondrahalli,ಕೈಕೊಂಡ್ರಹಳ್ಳಿ,quarter,12.9138348,77.6775268,osm-places-2026-09
node/11564938632,Kadiganahalli,,hamlet,13.1684639,77.6284263,osm-places-2026-09
node/11584482261,N Thyagaraju Layout,,neighbourhood,13.0008352,77.6315922,osm-places-2026-09
node/11594237409,Sector 5,ಸೆಕ್ಟರ್ ೫,quarter,12.9178503,77.6352346,osm-places-2026-09
node/11594317104,Further Extension,,neighbourhood,12.9660017,77.4906921,osm-places-2026-09
node/11594317105,6th Block,,neighbourhood,12.9601467,77.4758433,osm-places-2026-09
