"Name of the lake","Extent in Hect","Sample Location","CI","PO-P","TSS","DO","COD","NO3","TH","F","pH","Zn","pb","Cu","Mn","Al","Cr","EC MPN/100 ml","TC MPN/ 100 ml","","",""
"Nagavara Kere (Lumbini Garden)","20.33","Inlet.","201","0.05","16.5","5","18.88","4.20","188","0 56","7.96","0 05","0.02","Nil","0.11","0.82","","","","","",""
"Nallurahalli Tank","11.61","Inlet","314","2.26","27.5","7.6","57.60","6.75","416","0 41","8.04","0.08","Nil","Nil","0.21","","","","","","",""
"Nallurahalli Tank","","Outlet.","316","1.22","14","","Nil","8.31","400","0.42","7.43","0.05","Nil","Nil","0.24","","","","","","",""
"Nallurahalli Tank","","Middle","294","1.1","90","","19.20","8.37","408","0.42","7.92","0 05","Nil","Nil","0.12","","","","","","",""
"Narasapanhalli kere","19.16","Inlet","650","2.09","77.5","1.6","Nil","7.05","768","0.94","8.33","0 08","","","0.45","","","","","","",""
"Thalaghattapura Chickka kere","0.69","Inlet","11.2","0.01","21.5","5.8","Nil","6.71","48","0.20","7.36","0.13","Nil","Nil","0.08","","","","","","",""
"Thindlu Lake","41.77","Inlet","95.2","0.2","6.5","7.2","56.64","6.08","184","0.26","7.84","0 15","Nil","0 02","0.21","","","1600","1600","","",""
"Thindlu Lake","","Outlet","106","0.l","-","-","-","7.55","240","0.44","8.37","0.12","Nil","0.01","1.05","","","-","-","","",""
"Ulsoor Kere","43.81","Inlet","92","0.01","42","41.2","113.30","3.87","100","0.37","8.73","0.10","Nil","Nil","0.10","","","","","","",""
"Ulsoor Kere","","Outlet","101","0.05","22","","75.52","3.87","100","0.37","8.58","0.07","Nil","Nil","0.19","1.12","","","","","",""
"Ulsoor Kere","","Middle","92","0.05","6","","75.52","4.81","108","0.37","8.93","0.08","Nil","0.01","0.21","","","","","","",""
"Uttarahalli kere","4.51","Inlet","45","0.5","21.5","4.2","Nil","7.97","184","0.77","7.03","0.71","0.01","0.02","0.34","","","","","","",""
"Vajarahalli kere","0.43","Inlet","25","0.2","35.5","11.2","38.40","4.82","112","0.24","8.66","0.13","Nil","Nil","0.04","","","","","","",""
"Varahasandra kere","6.02","Inlet","86.8","0.1","5","5.2","Nil","6.29","204","0.35","7.84","0.07","Nil","Nil","0.08","","","","","","",""
"Varturu Tank","","Outlet","134","0.1","13","-","Nil","7.43","252","0.43","8.13","0.10","Nil","0.01","0.57","1.17","","","","","",""
"Varturu Tank","I66.87","Inlet","137","2.5","12","3.8","56.64","8.02","276","0.46","8.13","0.14","Nil","0.02","0.67","1.21","","","","","",""
"Vengaiah Kere","21.66","Inlet","246","0.1","81","10","94.40","6.77","204","0.33","8.81","0.07","Nil","0.01","0.15","","","160000","160000","","",""
"Vengaiah Kere","","Outlet","241","0.2","226","","56.64","7.88","200","0 33","8.92","0.09","Nil","Nil","0.15","","","","","","",""
"Venkatala Lake","22.9","Inlet","58.8","0.01","11.5","4.2","19.20","7.72","100","0.35","8.77","0.05","Nil","Nil","0.13","","","","","","",""
"Venkojirao kere (Agarakere)","","Inlet","860","0.05","27","12.6","37.76","6.79","292","0.71","9.67","0.07","Nil","Nil","0.06","","","1600","1600","","",""
"Venkojirao kere (Agarakere)","40.11","Outlet","812","0.05","5.5","","75.50","8.01","292","0 75","9.02","0.06","Nil","Nil","0.06","!","","900","900","","",""
"Vidyaranyapura Lake 2","","Outlet","81.2","0.2","63","","75.52","4.41","204","0.25","7.83","0.06","Nil","0.01","0.13","","","","","","",""
"Vidyaranyapura Lake 1","6.64","Inlet","101","0.2","25.5","4.8","75.52","7.31","204","0.27","8.05","0.25","Nil","0.01","0.17","","",">1600",">1600","","",""
"Yediyur kere","","Outlet","47.6","0.1","2","","0.00","2.01","140","0.30","8.54","0.04","Nil","0.03","0.06","4.78","","","","","",""
"Yediyur kere","4.54","Inlet","56","Nil","1.5","7.4","0.00","2.33","128","0.31","8.72","0.05","Nil","0.03","0.07","2.22","",">1600",">1600","","",""
"Yediyur kere","","Middle","64.4","0.05","47","","0.00","2.57","140","0.32","8.78","0.05","Nil","0.04","0.31","1.16","","","","","",""
"Yelahanka Kere","","Outlet","431","0.23","52","","211.00","9.44","216","0.68","8.96","0.08","0.02","Nil","0.35","","","","","","",""
"Yelahanka Kere","115.8","Inlet","428","0.01","96","6.8","249.60","11.35","180","0.74","9.05","0 07","Nil","Nil","0.25","","","","","","",""
"Yelahanka Kere","","Middle","406","0.01","88","","211.00","11.79","188","0 69","9.02","0.08","Nil","Nil","0.27","","","","","","",""
"Yellamallappa chetty kere","159.5","Inlet","185","1.09","4","","40.00","6.43","352","0.37","7.95","0.16","Nil","Nil","0.35","","","","","","",""
"","","Outlet","213","0.1","247.5","","75.52","5.78","172","0 65","10.08","0.11","Nil","0.03","0.05","","",">1600",">1600","","",""
